Hz	Up 0.05 #1	Up 0.05 #2	Up 0.05 #3	Up 0.05 #4	Up 0.05 #5	Up 0.1 #1	Up 0.1 #2	Up 0.1 #3	Up 0.1 #4	Up 0.1 #5	NG #1	NG #2	NG #3	NG #4	NG #5	REF	UP	LOW	MASK
800	128.856	129.004	129.057	129.047	129.052	128.764	128.669	128.761	129.155	128.666	129.42	129.318	129.355	129.435	129.289	129.179	130.879	127.479	1.7
850	129.662	129.816	129.847	129.838	129.86	129.562	129.474	129.558	129.945	129.466	130.201	130.112	130.171	130.228	130.085	129.971	131.671	128.271	1.7
900	130.437	130.573	130.616	130.598	130.624	130.34	130.236	130.308	130.728	130.229	130.962	130.887	130.929	130.99	130.845	130.714	132.414	129.014	1.7
950	131.164	131.298	131.346	131.314	131.352	131.062	130.96	131.03	131.453	130.953	131.68	131.613	131.672	131.711	131.576	131.419	133.119	129.719	1.7
1000	131.835	131.981	132.017	131.985	132.015	131.742	131.632	131.692	132.125	131.632	132.35	132.273	132.344	132.395	132.251	132.065	133.765	130.365	1.7
1060	132.509	132.671	132.704	132.68	132.694	132.436	132.32	132.381	132.81	132.32	133.034	132.983	133.03	133.102	132.956	132.743	134.443	131.043	1.7
1120	132.956	133.111	133.158	133.155	133.147	132.889	132.775	132.84	133.271	132.792	133.48	133.461	133.498	133.563	133.411	133.184	134.884	131.484	1.7
1180	133.034	133.211	133.261	133.268	133.251	132.965	132.888	132.979	133.37	132.914	133.575	133.558	133.581	133.654	133.491	133.269	134.969	131.569	1.7
1250	132.627	132.794	132.86	132.856	132.834	132.534	132.47	132.584	132.95	132.51	133.141	133.126	133.15	133.213	133.048	132.839	134.539	131.139	1.7
1320	131.691	131.869	131.918	131.908	131.906	131.606	131.538	131.674	132.019	131.602	132.206	132.167	132.199	132.252	132.07	131.903	133.603	130.203	1.7
1400	130.241	130.44	130.464	130.436	130.471	130.149	130.099	130.246	130.586	130.171	130.761	130.717	130.755	130.803	130.621	130.487	132.187	128.787	1.7
1500	128.298	128.492	128.491	128.45	128.521	128.175	128.15	128.295	128.643	128.227	128.8	128.757	128.796	128.829	128.64	128.559	130.259	126.859	1.7
1600	126.471	126.673	126.648	126.603	126.698	126.333	126.329	126.467	126.827	126.403	126.96	126.91	126.965	126.984	126.791	126.752	128.452	125.052	1.7
1700	124.888	125.093	125.046	125.002	125.119	124.747	124.736	124.87	125.252	124.823	125.36	125.302	125.362	125.367	125.173	125.165	126.865	123.465	1.7
