## SPL DATA
	Standard	#1 Test	#2 Test	#3 Test	#4 Test	#5 Test	#6 Test	#7 Test	#8 Test	#9 Test	#10 Test	#1 Thường	#2 Thường	#3 Thường	#4 Thường	#5 Thường	#6 Thường	#7 Thường	#8 Thường	#9 Thường	#10 Thường
71	104.488	104.641	105.278	105.144	105.251	105.548	105.375	104.513	104.847	105.252	105.986	105.202	104.846	104.374	105.003	104.885	105.498	104.839	104.662	106.017	105.557
75	105.163	105.217	105.918	105.724	105.862	106.185	106.027	105.185	105.511	105.892	106.632	105.808	105.417	105.005	105.612	105.525	106.114	105.462	105.265	106.647	106.191
80	105.976	105.95	106.661	106.419	106.605	106.939	106.753	105.907	106.267	106.644	107.384	106.544	106.16	105.697	106.342	106.238	106.862	106.195	105.95	107.412	106.926
85	106.694	106.615	107.349	107.076	107.276	107.618	107.4	106.574	106.962	107.31	108.039	107.26	106.821	106.345	107.001	106.88	107.549	106.854	106.614	108.104	107.613
90	107.403	107.226	108.004	107.677	107.888	108.281	108.039	107.2	107.609	107.972	108.705	107.872	107.429	106.911	107.64	107.49	108.179	107.498	107.225	108.758	108.246
95	108.053	107.828	108.58	108.235	108.471	108.863	108.623	107.781	108.228	108.544	109.305	108.491	108.001	107.472	108.22	108.06	108.772	108.084	107.814	109.366	108.827
100	108.63	108.379	109.148	108.764	109.031	109.449	109.196	108.352	108.798	109.128	109.862	109.052	108.539	108.013	108.766	108.588	109.335	108.622	108.35	109.93	109.382
106	109.32	108.988	109.798	109.361	109.669	110.074	109.798	108.968	109.428	109.745	110.501	109.655	109.146	108.614	109.401	109.203	109.959	109.247	108.956	110.567	110.009
112	109.941	109.576	110.389	109.936	110.237	110.676	110.397	109.557	110.038	110.351	111.079	110.266	109.726	109.158	110	109.78	110.547	109.829	109.55	111.182	110.598
118	110.543	110.114	110.952	110.475	110.785	111.232	110.947	110.109	110.529	110.896	111.64	110.812	110.267	109.704	110.544	110.305	111.098	110.38	110.077	111.744	111.141
125	111.194	110.731	111.558	111.054	111.409	111.857	111.543	110.709	111.153	111.5	112.241	111.4	110.851	110.278	111.158	110.899	111.701	110.975	110.675	112.358	111.749
132	111.801	111.277	112.13	111.594	111.976	112.429	112.104	111.278	111.724	112.083	112.823	111.977	111.405	110.835	111.72	111.446	112.273	111.549	111.235	112.949	112.314
140	112.436	111.903	112.74	112.203	112.571	113.043	112.707	111.891	112.333	112.686	113.436	112.578	111.993	111.398	112.334	112.042	112.869	112.139	111.847	113.559	112.927
150	113.193	112.584	113.457	112.898	113.282	113.767	113.42	112.593	113.017	113.405	114.141	113.29	112.681	112.09	113.032	112.731	113.588	112.831	112.529	114.275	113.636
160	113.876	113.252	114.121	113.545	113.936	114.423	114.07	113.248	113.706	114.054	114.797	113.943	113.329	112.717	113.68	113.366	114.246	113.484	113.175	114.93	114.278
170	114.526	113.843	114.729	114.136	114.539	115.032	114.677	113.849	114.322	114.678	115.414	114.549	113.914	113.295	114.3	113.962	114.854	114.088	113.772	115.551	114.889
180	115.117	114.399	115.306	114.689	115.099	115.603	115.243	114.415	114.918	115.232	115.971	115.105	114.468	113.842	114.858	114.497	115.417	114.637	114.33	116.122	115.453
190	115.653	114.921	115.824	115.206	115.623	116.133	115.77	114.938	115.46	115.762	116.498	115.638	114.978	114.366	115.396	115.011	115.94	115.156	114.854	116.65	115.972
200	116.171	115.417	116.317	115.692	116.115	116.621	116.263	115.43	115.939	116.251	116.991	116.117	115.467	114.831	115.877	115.492	116.431	115.647	115.338	117.143	116.454
212	116.745	115.966	116.876	116.238	116.649	117.175	116.812	115.976	116.5	116.808	117.535	116.67	115.996	115.378	116.425	116.04	116.978	116.187	115.882	117.687	116.997
224	117.277	116.479	117.388	116.741	117.16	117.687	117.319	116.493	117.019	117.319	118.039	117.185	116.503	115.88	116.943	116.544	117.49	116.708	116.389	118.205	117.509
236	117.778	116.969	117.863	117.213	117.63	118.155	117.799	116.977	117.493	117.804	118.499	117.658	116.979	116.357	117.422	117.02	117.962	117.174	116.871	118.684	117.983
250	118.323	117.487	118.385	117.731	118.128	118.68	118.325	117.51	118.015	118.328	119.004	118.19	117.485	116.88	117.941	117.524	118.482	117.701	117.395	119.188	118.491
265	118.85	118.009	118.902	118.239	118.63	119.191	118.841	118.03	118.523	118.844	119.49	118.708	117.98	117.4	118.458	118.025	118.995	118.224	117.919	119.7	119.009
280	119.352	118.503	119.386	118.737	119.089	119.665	119.322	118.511	118.969	119.325	119.922	119.201	118.455	117.878	118.922	118.492	119.459	118.71	118.396	120.173	119.491
300	119.949	119.14	119.987	119.378	119.707	120.24	119.92	119.081	119.491	119.896	120.498	119.794	119.061	118.512	119.506	119.106	120.048	119.334	118.984	120.746	120.089
315	120.362	119.597	120.404	119.831	120.182	120.678	120.344	119.498	119.905	120.316	120.959	120.218	119.518	118.976	119.958	119.563	120.472	119.763	119.438	121.149	120.51
335	120.926	120.151	120.936	120.383	120.732	121.219	120.874	120.094	120.511	120.875	121.492	120.758	120.075	119.537	120.533	120.122	121.001	120.306	120.006	121.644	121.027
