## SPL DATA
	Standard	#1 Test	#2 Test	#3 Test	#4 Test	#5 Test	#6 Test	#7 Test	#8 Test	#9 Test	#10 Test	#1 Thường	#2 Thường	#3 Thường	#4 Thường	#5 Thường	#6 Thường	#7 Thường	#8 Thường	#9 Thường	#10 Thường
125	32.994	33.655	33.84	33.791	33.789	34.001	33.918	33.608	34.208	33.955	34.234	33.938	33.778	33.582	33.849	33.808	34.093	33.739	33.605	34.253	34.242
132	33.116	33.761	33.982	33.868	33.899	34.141	34.039	33.709	34.307	34.07	34.37	34.035	33.847	33.616	33.943	33.871	34.206	33.818	33.692	34.393	34.349
140	33.229	33.815	34.062	33.973	33.995	34.264	34.129	33.794	34.401	34.196	34.488	34.153	33.951	33.688	34.036	33.969	34.338	33.898	33.774	34.513	34.446
150	33.355	33.929	34.202	34.041	34.095	34.39	34.246	33.884	34.494	34.281	34.61	34.228	34	33.726	34.141	34.029	34.414	33.997	33.864	34.677	34.573
160	33.484	33.973	34.312	34.113	34.167	34.476	34.332	33.954	34.603	34.375	34.735	34.34	34.06	33.78	34.232	34.094	34.509	34.064	33.928	34.782	34.665
170	33.556	34.046	34.344	34.193	34.206	34.563	34.406	34.029	34.641	34.475	34.791	34.41	34.138	33.849	34.292	34.155	34.587	34.124	33.955	34.873	34.707
180	33.634	34.017	34.432	34.205	34.305	34.605	34.449	34.056	34.699	34.509	34.897	34.428	34.14	33.878	34.337	34.202	34.644	34.155	34.033	34.919	34.775
190	33.713	34.113	34.422	34.208	34.328	34.664	34.485	34.083	34.785	34.549	34.934	34.496	34.194	33.87	34.364	34.207	34.675	34.2	34.034	34.978	34.815
200	33.761	34.145	34.492	34.255	34.348	34.717	34.507	34.12	34.801	34.564	34.943	34.515	34.193	33.893	34.402	34.206	34.687	34.236	34.046	35.014	34.841
212	33.774	34.149	34.468	34.253	34.353	34.712	34.497	34.156	34.843	34.587	34.978	34.511	34.187	33.887	34.384	34.204	34.71	34.187	34.063	35.017	34.823
224	33.803	34.16	34.461	34.244	34.342	34.694	34.514	34.136	34.833	34.567	34.969	34.538	34.202	33.911	34.422	34.252	34.668	34.174	34.1	34.993	34.8
236	33.805	34.133	34.457	34.209	34.308	34.652	34.474	34.104	34.802	34.593	34.921	34.493	34.171	33.882	34.411	34.171	34.693	34.176	34.034	34.97	34.81
250	33.798	34.111	34.424	34.197	34.29	34.641	34.45	34.137	34.784	34.546	34.921	34.448	34.158	33.87	34.356	34.151	34.624	34.136	34.037	34.901	34.754
265	33.761	34.082	34.368	34.145	34.221	34.626	34.367	34.104	34.758	34.497	34.89	34.425	34.121	33.834	34.3	34.127	34.572	34.109	34.024	34.82	34.7
280	33.738	34.032	34.302	34.17	34.193	34.539	34.292	34.071	34.68	34.421	34.757	34.323	34.017	33.835	34.221	34.026	34.49	34.037	34	34.714	34.618
300	33.631	33.988	34.179	34.082	34.101	34.389	34.181	34.022	34.553	34.265	34.557	34.234	33.884	33.737	34.099	33.922	34.33	33.989	33.857	34.579	34.498
315	33.513	33.912	34.095	33.993	34	34.265	34.099	33.862	34.418	34.189	34.404	34.143	33.831	33.638	34.033	33.903	34.224	33.897	33.766	34.469	34.441
335	33.424	33.812	33.959	33.872	33.874	34.118	34.003	33.732	34.316	34.047	34.262	34.015	33.705	33.579	33.923	33.742	34.137	33.828	33.693	34.268	34.275
355	33.305	33.703	33.793	33.745	33.753	33.974	33.839	33.651	34.217	33.911	34.078	33.888	33.648	33.493	33.834	33.678	33.951	33.682	33.563	34.11	34.125
375	33.134	33.614	33.661	33.617	33.603	33.819	33.706	33.529	34.102	33.807	33.939	33.739	33.549	33.398	33.732	33.56	33.813	33.539	33.474	33.924	33.931
400	33.019	33.467	33.493	33.476	33.425	33.634	33.536	33.402	33.895	33.631	33.693	33.596	33.365	33.287	33.566	33.395	33.662	33.431	33.302	33.694	33.777
425	32.864	33.325	33.314	33.287	33.279	33.458	33.354	33.274	33.75	33.471	33.494	33.404	33.241	33.157	33.388	33.25	33.453	33.297	33.182	33.459	33.56
450	32.661	33.153	33.148	33.178	33.078	33.227	33.17	33.117	33.606	33.236	33.243	33.232	33.095	33.041	33.221	33.158	33.277	33.116	33.043	33.262	33.377
475	32.516	33.042	32.969	33.043	32.921	33.044	33.038	32.957	33.423	33.105	33.064	33.118	32.951	32.898	33.093	32.977	33.096	33.027	32.914	33.068	33.19
500	32.339	32.875	32.773	32.844	32.761	32.873	32.858	32.804	33.258	32.903	32.901	32.925	32.826	32.738	32.907	32.875	32.905	32.849	32.803	32.859	33.039
530	32.172	32.77	32.618	32.698	32.56	32.685	32.661	32.721	33.076	32.729	32.682	32.806	32.675	32.672	32.776	32.705	32.746	32.675	32.624	32.632	32.84
560	31.968	32.541	32.413	32.533	32.426	32.503	32.513	32.511	32.941	32.566	32.447	32.599	32.535	32.536	32.604	32.516	32.53	32.503	32.475	32.531	32.706
600	31.749	32.392	32.257	32.332	32.211	32.319	32.298	32.319	32.712	32.341	32.296	32.355	32.353	32.342	32.398	32.337	32.363	32.292	32.307	32.275	32.46
630	31.623	32.225	32.106	32.229	32.074	32.141	32.163	32.186	32.631	32.22	32.135	32.256	32.206	32.204	32.215	32.245	32.262	32.194	32.203	32.171	32.343
670	31.456	32.123	31.944	32.051	31.93	31.998	31.983	32.062	32.479	32.046	31.983	32.048	32.091	32.059	32.078	32.052	32.022	32.051	32.012	31.949	32.163
710	31.329	32.004	31.8	31.9	31.81	31.857	31.904	31.905	32.275	31.903	31.895	31.985	31.934	31.973	31.974	31.927	31.934	31.936	31.908	31.813	31.994
750	31.211	31.826	31.711	31.814	31.718	31.723	31.765	31.81	32.181	31.79	31.709	31.853	31.801	31.843	31.853	31.83	31.812	31.762	31.792	31.701	31.874
800	31.117	31.761	31.621	31.707	31.586	31.665	31.664	31.687	32.105	31.716	31.656	31.778	31.75	31.797	31.72	31.756	31.733	31.699	31.682	31.652	31.842
850	31.057	31.657	31.542	31.692	31.566	31.577	31.605	31.648	32.034	31.653	31.543	31.679	31.65	31.691	31.698	31.641	31.656	31.634	31.645	31.61	31.762
900	31.073	31.667	31.536	31.599	31.542	31.593	31.59	31.622	31.975	31.667	31.578	31.67	31.678	31.685	31.679	31.621	31.652	31.658	31.59	31.585	31.759
950	31.06	31.728	31.598	31.672	31.559	31.589	31.639	31.622	32.055	31.599	31.598	31.674	31.666	31.663	31.691	31.727	31.668	31.613	31.595	31.623	31.779
1000	31.083	31.745	31.596	31.712	31.618	31.672	31.694	31.696	32.131	31.728	31.691	31.736	31.711	31.718	31.745	31.723	31.735	31.647	31.707	31.704	31.837
1060	31.227	31.861	31.761	31.782	31.694	31.778	31.802	31.773	32.214	31.787	31.767	31.874	31.815	31.793	31.787	31.788	31.848	31.798	31.777	31.826	31.879
1120	31.327	31.914	31.803	31.893	31.81	31.884	31.868	31.881	32.315	31.925	31.888	31.976	31.873	31.894	31.979	31.9	31.902	31.871	31.889	31.93	32.054
1180	31.394	31.96	31.915	31.926	31.86	31.909	31.93	31.97	32.328	31.985	31.918	32.016	31.945	31.956	31.976	31.945	32.004	31.949	31.9	31.992	32.063
1250	31.369	31.982	31.873	31.922	31.831	31.838	31.883	31.909	32.344	31.933	31.841	31.955	31.936	31.966	31.986	31.967	31.943	31.914	31.899	31.897	32.043
1320	31.248	31.862	31.754	31.811	31.723	31.789	31.763	31.796	32.205	31.841	31.771	31.863	31.823	31.83	31.844	31.849	31.837	31.828	31.804	31.782	31.936
1400	31.068	31.701	31.556	31.683	31.55	31.587	31.588	31.697	32.091	31.648	31.573	31.699	31.663	31.705	31.697	31.703	31.669	31.669	31.685	31.61	31.742
1500	30.868	31.542	31.359	31.458	31.355	31.367	31.405	31.438	31.847	31.45	31.363	31.464	31.486	31.551	31.503	31.497	31.48	31.449	31.47	31.385	31.558
1600	30.746	31.351	31.221	31.332	31.213	31.24	31.282	31.3	31.708	31.343	31.233	31.321	31.346	31.389	31.392	31.401	31.32	31.357	31.338	31.274	31.429
1700	30.639	31.294	31.146	31.233	31.113	31.127	31.143	31.204	31.628	31.212	31.145	31.271	31.244	31.273	31.266	31.232	31.197	31.218	31.207	31.176	31.327
1800	30.54	31.211	31.109	31.135	31.047	31.071	31.128	31.158	31.556	31.153	31.104	31.157	31.2	31.202	31.179	31.192	31.133	31.155	31.151	31.122	31.254
1900	30.482	31.12	31.032	31.082	31.028	31.006	31.048	31.087	31.506	31.051	31.017	31.132	31.093	31.171	31.113	31.148	31.089	31.097	31.094	31.031	31.182
2000	30.484	31.116	31.035	31.047	30.978	30.983	31.018	31.028	31.434	31.069	30.953	31.06	31.113	31.078	31.106	31.116	31.088	31.051	31.085	31.029	31.137
2120	30.442	31.086	30.953	30.979	30.946	30.953	30.973	31.019	31.412	30.983	30.985	30.998	31.042	31.062	31.033	31.05	31.026	31.013	31.025	30.989	31.117
2240	30.431	31.005	30.904	30.983	30.897	30.923	30.94	30.952	31.377	30.988	30.927	31.019	31.028	31.04	31.039	31.024	30.974	30.995	30.98	30.938	31.075
2360	30.42	30.989	30.919	30.926	30.891	30.914	30.929	30.958	31.362	30.955	30.883	30.986	31.018	30.991	31.03	31.018	30.993	30.962	30.975	30.948	31.052
2500	30.366	30.977	30.905	30.933	30.9	30.89	30.923	30.935	31.349	30.946	30.887	30.988	30.995	30.966	31.007	30.957	30.997	30.953	30.963	30.952	31.047
2650	30.373	31.003	30.849	30.911	30.895	30.875	30.905	30.932	31.327	30.971	30.883	30.978	30.984	30.973	30.989	30.986	30.983	30.966	30.97	30.944	31.048
2800	30.348	30.962	30.884	30.966	30.881	30.854	30.923	30.907	31.331	30.938	30.877	31.015	30.985	30.985	30.966	30.993	30.974	30.943	30.947	30.908	31.065
3000	30.34	30.976	30.887	30.914	30.868	30.868	30.883	30.925	31.312	30.941	30.902	30.983	30.978	30.978	30.991	30.984	30.969	30.909	30.978	30.936	31.044
3150	30.348	30.993	30.884	30.896	30.861	30.884	30.897	30.923	31.339	30.954	30.916	30.969	30.986	31.005	30.985	30.961	30.911	30.928	30.943	30.924	31.052
3350	30.408	30.987	30.915	30.961	30.91	30.934	30.949	30.949	31.368	30.954	30.914	31.019	31.001	30.981	30.976	30.98	31.013	30.973	30.982	30.951	31.056
3550	30.452	31.034	30.908	30.97	30.904	30.937	30.941	30.978	31.372	30.975	30.953	31.006	31.019	31	31.017	31.008	31.008	31	30.971	30.988	31.097
3750	30.462	31.047	30.974	31.006	30.979	30.973	31.004	30.979	31.361	31.015	30.948	31.042	31.034	31.015	31.074	31.046	30.981	30.977	31.023	31.037	31.132
4000	30.469	31.067	30.986	31.019	30.964	30.969	30.996	30.99	31.463	31.058	30.971	31.045	31.061	31.076	31.112	31.069	31.076	31.057	31.022	31.031	31.15
4250	30.413	30.986	30.926	30.949	30.938	30.936	30.926	30.993	31.361	30.969	30.906	31.001	31.045	31.013	30.983	31.005	31.012	30.977	30.979	30.993	31.085
4500	30.382	30.985	30.939	30.962	30.906	30.96	30.935	30.963	31.34	30.983	30.96	31.033	31.022	31.011	31.025	30.987	31.013	30.958	30.982	31.004	31.089
4750	30.431	31.064	30.962	30.976	30.939	30.98	30.99	31.006	31.404	30.984	31.022	31.047	31.069	31.092	31.031	31.037	31.058	31.041	31.011	30.998	31.136
5000	30.503	31.066	31.033	31.024	30.997	31.036	31.059	31.066	31.466	31.056	31.065	31.097	31.107	31.05	31.103	31.037	31.09	31.071	31.041	31.052	31.172
5300	30.527	31.066	31.022	31.03	30.997	31.023	31.069	31.058	31.448	31.121	31.058	31.118	31.083	31.041	31.135	31.135	31.14	31.07	31.08	31.109	31.157
5600	30.528	31.137	31.038	31.053	30.999	31.08	31.062	31.027	31.446	31.09	31.092	31.096	31.099	31.087	31.099	31.135	31.117	31.078	31.098	31.072	31.238
6000	30.513	31.121	31.086	31.044	31.017	31.033	31.103	31.03	31.428	31.09	31.134	31.119	31.132	31.095	31.119	31.134	31.156	31.08	31.052	31.131	31.224
6300	30.544	31.156	31.09	31.026	31.026	31.086	31.083	31.056	31.433	31.082	31.098	31.161	31.107	31.134	31.145	31.159	31.138	31.06	31.063	31.118	31.218
6700	30.502	31.087	31.038	31.042	31.022	31.049	31.081	30.998	31.428	31.098	31.073	31.092	31.119	31.069	31.099	31.096	31.094	31.034	31.048	31.074	31.184
7100	30.488	31.082	30.995	31.02	31.008	31.007	31.045	30.981	31.466	31.031	31.039	31.077	31.047	31.074	31.101	31.111	31.112	31.035	31.021	31.054	31.184
7500	30.491	31.075	31.033	31.028	30.968	31.007	31.039	31.02	31.444	31.058	31.031	31.077	31.083	31.054	31.092	31.098	31.07	31.041	30.997	31.075	31.178
8000	30.464	31.076	31.037	31.017	30.979	31.035	31.049	31.02	31.421	31.076	31.047	31.081	31.098	31.061	31.109	31.084	31.094	31.056	31.042	31.047	31.167
8500	30.514	31.149	31.053	31.052	30.986	31.04	31.065	31.011	31.479	31.087	31.048	31.124	31.101	31.074	31.099	31.137	31.073	31.065	31.072	31.106	31.21
9000	30.539	31.14	31.078	31.069	31.044	31.082	31.099	31.074	31.486	31.121	31.096	31.139	31.13	31.146	31.16	31.158	31.114	31.083	31.104	31.141	31.226
9500	30.594	31.186	31.129	31.128	31.093	31.16	31.158	31.117	31.54	31.157	31.159	31.202	31.209	31.179	31.196	31.178	31.193	31.111	31.146	31.171	31.304
10000	30.727	31.239	31.207	31.225	31.173	31.232	31.226	31.203	31.622	31.271	31.266	31.268	31.249	31.291	31.288	31.315	31.284	31.198	31.239	31.268	31.352
10600	30.675	31.283	31.182	31.126	31.179	31.234	31.225	31.231	31.637	31.216	31.207	31.263	31.274	31.232	31.233	31.307	31.296	31.24	31.198	31.238	31.309
11200	30.689	31.285	31.226	31.186	31.15	31.258	31.21	31.22	31.636	31.264	31.242	31.299	31.293	31.266	31.282	31.332	31.303	31.274	31.279	31.239	31.354
11800	30.686	31.343	31.256	31.235	31.213	31.245	31.257	31.273	31.701	31.277	31.263	31.321	31.307	31.289	31.29	31.319	31.328	31.278	31.309	31.326	31.346
12500	30.751	31.384	31.289	31.256	31.244	31.292	31.316	31.309	31.709	31.306	31.319	31.388	31.313	31.353	31.378	31.383	31.38	31.309	31.283	31.355	31.416
13200	30.803	31.413	31.331	31.316	31.275	31.346	31.361	31.324	31.735	31.358	31.347	31.393	31.395	31.417	31.388	31.404	31.384	31.357	31.382	31.379	31.448
14000	30.856	31.42	31.397	31.351	31.358	31.358	31.407	31.371	31.782	31.411	31.454	31.484	31.432	31.429	31.457	31.496	31.504	31.42	31.414	31.443	31.534
15000	30.918	31.47	31.46	31.383	31.418	31.461	31.461	31.426	31.829	31.469	31.493	31.489	31.457	31.486	31.483	31.511	31.49	31.459	31.445	31.499	31.58
16000	30.989	31.555	31.529	31.535	31.455	31.483	31.53	31.506	31.897	31.557	31.548	31.563	31.561	31.503	31.55	31.59	31.572	31.506	31.548	31.555	31.601
17000	30.984	31.594	31.543	31.556	31.505	31.598	31.567	31.576	31.93	31.593	31.576	31.613	31.641	31.582	31.621	31.666	31.664	31.592	31.575	31.572	31.678
18000	31.085	31.638	31.622	31.571	31.547	31.625	31.619	31.594	31.977	31.641	31.591	31.654	31.653	31.635	31.628	31.682	31.693	31.596	31.625	31.612	31.68
19000	31.111	31.712	31.657	31.631	31.581	31.693	31.7	31.606	32.057	31.668	31.713	31.698	31.695	31.68	31.694	31.748	31.714	31.654	31.673	31.642	31.766
20000	31.123	31.704	31.673	31.662	31.624	31.68	31.703	31.656	32.081	31.663	31.745	31.711	31.724	31.733	31.709	31.775	31.76	31.643	31.697	31.686	31.762

## THD
	Standard	#1 Test	#2 Test	#3 Test	#4 Test	#5 Test	#6 Test	#7 Test	#8 Test	#9 Test	#10 Test	#1 Thường	#2 Thường	#3 Thường	#4 Thường	#5 Thường	#6 Thường	#7 Thường	#8 Thường	#9 Thường	#10 Thường
20	19.965	17.64	19.187	15.927	23.027	16.867	21.518	20.199	17.768	16.765	15.993	19.218	26.064	25.766	20.81	26.062	21.794	27.144	23.03	20.34	22.796
21.2	19.311	15.561	18.672	17.109	23.938	16.71	20.325	19.603	17.716	17.886	15.562	19.254	25.423	26.823	22.224	25.868	19.234	28.135	21.842	21.047	21.011
22.4	12.452	15.257	17.713	15.221	23.169	14.102	19.524	19.985	18.675	16.594	15.517	19.665	26.292	26.014	20.739	25.821	20.366	30.524	21.637	20.223	20.83
23.6	18.61	16.321	20.05	17.052	22.129	15.6	21.432	19.728	18.271	18.172	16.576	19.317	26.273	25.733	21.365	26.181	19.889	26.057	22.642	20.771	21.474
25	18.785	16.038	17.786	14.9	22.147	15.886	20.255	19.555	18.372	17.792	14.398	19.219	25.487	25.857	20.898	26.33	20.22	26.591	21.556	19.221	21.042
26.5	18.706	15.236	18.448	16.012	23.847	15.019	20.249	18.489	17.893	17.365	16.055	19.017	24.433	25.238	20.959	25.709	19.59	26.115	21.391	19.393	20.549
28	17.903	14.908	17.35	15.262	22.76	15.873	20.21	18.074	18.054	17.721	15.778	18.027	24.814	24.829	20.744	25.254	19.666	26.139	21.33	20.421	20.16
30	19.31	14.747	17.102	14.591	22.778	15.15	19.986	17.989	17.48	16.48	15.494	18.534	23.598	23.412	20.71	24.665	19.297	26.312	21.374	20.069	19.433
31.5	18.519	13.99	17.741	15.116	22.29	15.5	20.065	17.901	16.895	16.616	15.611	18.222	24.086	23.819	19.17	23.478	18.974	25.449	20.409	19.153	19.131
33.5	18.419	14.385	17.484	14.284	21.213	15.182	19.974	17.313	16.623	16.284	14.718	17.604	23.338	22.82	19.106	23.486	18.373	24.626	19.901	19.979	18.932
35.5	17.682	13.615	16.296	13.991	20.611	14.364	18.808	17.073	16.184	15.597	15.081	17.389	22.61	22.029	18.745	22.108	17.803	24.077	19.799	18.835	18.761
37.5	18.051	13.316	16.316	14.194	20.446	14.598	18.191	16.648	15.99	15.716	14.452	16.828	21.888	21.448	18.236	21.855	17.555	23.929	18.91	18.864	18.065
40	17.826	13.055	15.887	13.094	19.91	13.873	17.666	15.969	15.301	14.612	13.922	16.471	20.876	20.514	17.865	20.933	16.855	22.711	18.433	18.455	17.514
42.5	17.499	12.596	15.045	12.651	19.502	13.581	17.455	15.525	14.922	14.448	13.87	16.009	20.051	19.808	17.011	19.392	16.268	22.291	17.873	18.021	16.737
45	17.398	12.224	14.625	12.134	18.967	13.274	16.882	14.792	14.53	13.453	13.002	15.541	19.476	19.124	16.634	18.633	15.676	21.353	17.424	17.745	16.156
47.5	16.887	12.018	14.831	11.973	18.214	12.874	16.279	14.584	13.79	13.445	12.76	15.332	18.466	18.161	15.745	17.897	15.207	21.113	16.882	16.98	15.612
50	16.206	11.71	14.12	11.753	17.315	12.284	15.815	14.353	13.594	12.607	11.829	14.421	17.574	17.539	15.332	16.912	14.591	19.912	16.393	16.787	14.774
53	16.423	11.808	13.408	11.41	16.759	11.946	15.481	13.551	12.76	12.146	11.88	13.889	16.598	16.484	14.801	16.083	14.213	19.434	15.523	16.418	14.258
56	15.907	11.112	13.081	11.193	16.607	11.647	14.657	13.034	12.205	11.646	11.099	13.408	15.876	15.825	14.559	15.229	13.297	18.652	15.171	15.077	13.794
60	15.216	11.089	12.551	10.893	15.356	11.235	13.887	12.387	12.262	11.136	10.757	12.892	15.041	15.145	13.654	14.267	12.623	17.912	14.514	15.069	12.933
63	14.793	10.999	12.086	10.853	15.113	10.804	13.675	12.293	11.764	10.742	10.562	12.625	13.92	14.581	13.127	13.581	11.904	16.969	14.146	13.999	12.264
67	14.464	10.769	11.743	10.787	14.454	10.564	13.111	11.993	11.246	10.381	10.254	12.161	13.6	14.028	12.662	12.844	11.564	16.226	13.809	13.934	11.636
71	13.826	10.859	11.435	10.592	13.808	10.268	12.784	11.831	11.143	10.152	9.795	11.961	13.05	13.533	12.191	12.366	11.107	15.574	13.399	13.348	11.205
75	13.675	10.853	11.236	11.141	13.49	10.638	12.157	11.618	11.095	10.438	9.745	11.613	12.592	13.066	11.985	11.998	10.773	14.993	12.985	13.022	10.798
80	13.433	11.257	11.055	11.087	12.713	10.273	11.694	11.521	10.451	9.789	9.708	11.497	12.253	13.005	11.618	11.443	10.661	14.37	13.008	12.518	10.614
85	12.891	11.18	10.966	11.115	12.397	10.646	11.697	11.566	10.62	10.078	9.599	11.356	11.892	12.758	11.447	11.579	10.151	13.72	12.676	12.149	10.419
90	12.614	11.425	10.887	11.119	11.938	9.935	11.551	11.648	10.519	9.969	9.547	11.469	11.753	12.888	11.189	11.383	10.143	13.441	12.421	11.825	10.313
95	12.355	11.487	11.132	11.411	11.86	10.209	11.612	11.597	10.52	10.32	9.726	11.392	11.914	12.951	10.957	11.544	10.179	13.224	12.493	11.761	10.274
100	12.519	11.827	11.046	11.788	11.635	10.323	11.369	11.933	10.478	10.506	9.731	11.458	12.203	12.733	11.057	11.645	10.418	13.069	12.559	11.513	10.455
106	12.13	12.054	11.088	11.883	11.776	10.537	11.415	12	10.966	10.86	10.123	11.488	12.271	13.1	11.483	11.812	10.516	12.633	12.734	11.42	10.52
112	12.241	12.187	11.218	12.055	11.805	10.969	11.503	12.209	11.285	10.999	10.151	11.695	12.187	13.062	11.755	11.794	10.755	12.609	12.777	11.373	10.694
118	12.271	12.373	11.291	12.363	11.867	11.019	11.437	12.45	11.395	11.201	10.236	11.681	12.411	13.081	11.889	11.889	10.811	12.694	12.83	11.344	10.888
125	12.171	12.499	11.224	12.503	11.873	10.978	11.489	12.659	11.424	11.292	10.444	11.697	12.423	13.289	11.895	12.031	11.053	12.635	12.806	11.359	10.948
132	12.248	12.725	11.287	12.604	11.791	11.164	11.292	12.659	11.567	11.403	10.562	12.004	12.444	13.458	12.133	12.235	11.206	12.614	12.931	11.353	11.117
140	12.374	12.82	11.254	12.677	11.807	11.222	11.278	12.848	11.112	11.605	10.787	12.181	12.312	13.554	12.139	12.333	11.359	12.743	13.045	11.396	11.224
150	12.468	13.071	11.524	12.897	11.99	11.425	11.63	12.944	10.378	11.824	10.962	12.357	12.674	13.746	12.086	12.635	11.449	12.959	13.205	11.428	11.487
160	12.58	13.461	11.856	13.128	12.147	11.692	12.195	13.272	11.129	12.193	11.195	12.553	13.093	14.102	12.514	12.831	11.681	13.103	13.396	11.531	11.697
170	12.714	13.805	12.096	13.415	12.267	11.908	12.251	13.625	12.167	12.48	11.289	12.686	13.356	14.431	12.82	13.132	11.929	13.285	13.875	11.604	11.87
180	12.998	14.094	12.347	13.754	12.589	12.119	12.509	13.934	12.633	12.762	11.531	13.011	13.735	14.734	13.169	13.526	12.118	13.633	14.053	11.615	12.092
190	13.165	14.272	12.684	13.921	12.814	12.345	12.762	14.231	12.886	12.92	11.699	13.243	14.03	15.194	13.468	13.875	12.446	13.944	14.221	11.857	12.268
200	13.488	14.593	12.865	14.282	12.94	12.586	12.981	14.579	13.341	13.173	11.976	13.446	14.218	15.46	13.797	14.106	12.638	14.041	14.486	11.934	12.462
212	13.729	14.864	13.116	14.534	13.24	12.794	13.234	14.882	13.636	13.478	12.152	13.683	14.653	15.863	13.872	14.419	12.811	14.271	14.802	12.276	12.83
224	13.978	15.264	13.309	14.984	13.51	13.127	13.41	15.332	13.826	13.752	12.235	13.956	14.854	16.263	14.255	14.809	12.985	14.618	15.153	12.424	13.017
236	14.194	15.583	13.571	15.121	13.676	13.299	13.712	15.463	14.142	14.003	12.621	14.265	15.276	16.645	14.483	15.104	13.265	15.072	15.452	12.561	13.312
250	14.51	16.017	13.817	15.561	13.943	13.517	14.022	15.974	14.323	14.366	12.803	14.583	15.601	17.095	14.858	15.42	13.552	15.354	15.801	12.811	13.49
265	14.816	16.514	14.138	15.76	14.083	13.748	14.174	16.436	14.569	14.465	12.922	14.824	15.706	17.586	15.109	15.64	13.747	15.721	16.059	12.884	13.754
280	14.991	16.682	14.375	16.072	14.225	13.658	14.399	16.435	14.448	14.584	12.388	14.911	15.685	17.46	15.216	15.952	13.867	15.837	16.332	13.03	13.861
300	14.974	16.488	14.221	16.048	14.143	13.47	14.583	16.055	14.25	14.659	12.106	14.969	16.084	17.808	15.211	16.176	13.908	15.846	16.108	12.957	13.872
315	14.803	16.566	14.201	15.887	14.121	13.597	14.323	15.983	14.451	14.395	12.538	14.878	15.956	17.762	15.28	16.197	13.894	15.88	16.187	12.812	13.859
335	14.572	16.232	13.854	15.6	13.916	13.292	14.098	16.024	14.319	14.098	12.219	14.606	15.708	17.572	14.74	15.74	13.466	15.608	16.02	12.444	13.605
355	14.123	15.647	13.375	15.141	13.421	12.686	13.475	15.558	13.896	13.662	11.986	14.065	15.171	16.909	14.316	15.198	12.996	14.989	15.503	11.908	12.942
375	13.386	14.892	12.591	14.444	12.707	12.103	12.734	14.64	13.199	13.005	11.206	13.215	14.314	16.136	13.61	14.5	12.309	14.387	14.624	11.424	12.196
400	11.992	13.282	11.205	12.745	11.285	10.844	11.29	13.124	11.778	11.496	9.969	11.917	12.783	14.243	12.081	12.851	10.858	12.768	13.089	10.241	10.794
425	9.866	11.043	9.358	10.694	9.432	8.926	9.393	10.974	9.761	9.561	8.306	9.824	10.714	11.978	10.021	10.678	9.021	10.646	10.99	8.343	9.022
450	7.725	8.686	7.27	8.45	7.279	6.885	7.227	8.659	7.658	7.512	6.307	7.688	8.489	9.566	7.856	8.456	7.141	8.54	8.557	6.619	7.016
475	5.922	6.701	5.573	6.43	5.751	5.235	5.512	6.689	5.696	5.626	4.771	5.842	6.559	7.36	5.983	6.436	5.301	6.528	6.651	5.054	5.273
500	4.514	5.153	4.251	4.88	4.431	3.986	4.267	5.124	4.438	4.318	3.536	4.554	5.065	5.68	4.63	4.992	4.075	4.98	5.054	3.911	4.102
530	3.24	3.81	3.068	3.656	3.343	2.85	3.104	3.734	3.202	3.14	2.534	3.305	3.774	4.269	3.333	3.548	2.951	3.797	3.742	2.974	3.101
560	2.412	2.888	2.426	2.806	2.644	2.128	2.258	2.766	2.423	2.336	1.863	2.541	2.983	3.106	2.569	2.656	2.276	2.865	2.803	2.492	2.318
600	1.631	2.023	1.747	1.936	1.898	1.421	1.561	1.957	1.662	1.648	1.245	1.798	2.134	2.154	1.795	1.888	1.556	2.117	1.962	1.769	1.729
630	1.219	1.559	1.364	1.528	1.494	1.064	1.282	1.458	1.341	1.288	0.867	1.431	1.644	1.592	1.37	1.411	1.101	1.587	1.526	1.401	1.335
670	0.834	1.102	0.91	0.971	1.037	0.717	0.842	1.049	0.899	0.841	0.548	0.962	1.174	1.161	0.926	0.981	0.792	1.15	1.041	1.004	0.876
710	0.559	0.797	0.67	0.709	0.717	0.466	0.571	0.715	0.566	0.567	0.37	0.638	0.782	0.851	0.659	0.634	0.56	0.774	0.75	0.674	0.597
750	0.393	0.531	0.41	0.461	0.485	0.362	0.373	0.516	0.408	0.409	0.279	0.428	0.561	0.592	0.41	0.464	0.373	0.553	0.5	0.467	0.383
800	0.304	0.373	0.314	0.364	0.347	0.269	0.297	0.396	0.323	0.302	0.242	0.347	0.391	0.44	0.344	0.339	0.304	0.383	0.37	0.309	0.305
850	0.296	0.338	0.294	0.326	0.318	0.283	0.275	0.331	0.305	0.276	0.264	0.315	0.351	0.376	0.318	0.316	0.281	0.313	0.33	0.292	0.29
900	0.302	0.322	0.295	0.311	0.293	0.296	0.292	0.333	0.306	0.296	0.266	0.308	0.326	0.351	0.295	0.307	0.273	0.32	0.322	0.296	0.296
950	0.316	0.335	0.303	0.339	0.304	0.307	0.303	0.325	0.307	0.304	0.287	0.32	0.336	0.343	0.328	0.32	0.301	0.32	0.325	0.3	0.299
1000	0.315	0.327	0.308	0.329	0.314	0.309	0.302	0.323	0.31	0.308	0.291	0.325	0.331	0.341	0.321	0.327	0.305	0.332	0.32	0.317	0.318
