## 그래프
WF																													THD																													R&B

## SET GRAPH(전체)
〔bg=#FFF2CC,b〕WF																													〔bg=#FFF2CC,b〕THD																													〔bg=#FFF2CC,b〕R&B

## SET MASK
〔bg=#E2EFDA〕WF Mask							〔bg=#E2EFDA〕THD Mask			〔bg=#E2EFDA〕RnB Crest Mask			〔bg=#E2EFDA〕FFT MASK										〔bg=#E2EFDA〕MIC MASK				〔bg=#E2EFDA〕LOOP MASK		
	REF	UP	LOW	UP	LOW			Mask			Mask			Mask			REF	UP	LOW	+	-			UP	LOW			UP	LOW
378.333398517734	125.785685712529	127.785685712529	123.785685712529	2	-2											10136.7735267505	112.230368573575	117.230368573575	107.230368573575	5	-5								
383.637313093299	125.624046263024	127.624046263024	123.624046263024	2.00000000000001	-2.00000000000001											10155.4083948305	112.25382588307	117.25382588307	107.25382588307	5	-5								
389.015584069687	125.460637766663	127.460637766663	123.460637766663	2.00000000000001	-2.00000000000001											10174.0775201923	112.266987243921	117.266987243921	107.266987243921	5	-5								
394.46925386081	125.295648021574	127.295648021574	123.295648021574	2	-2											10192.7809658127	112.269908208922	117.269908208922	107.269908208922	5	-5								
399.999379494343	125.12906249253	127.12906249253	123.12906249253	1.99999999999999	-1.99999999999999											10211.5187947841	112.262630510394	117.262630510394	107.262630510394	5	-5								
405.607032816595	124.960829356909	126.960829356909	122.960829356909	2.00000000000001	-2.00000000000001											10230.2910703148	112.245186059543	117.245186059543	107.245186059543	5	-5								
411.293300700256	124.791144815284	126.791144815284	122.791144815284	2	-2											10249.0978557295	112.217602485096	117.217602485096	107.217602485096	5	-5								
417.059285255051	124.62001744712	126.62001744712	122.62001744712	2	-2											10267.9392144692	112.179909976853	117.179909976853	107.179909976853	5	-5								
422.906104041352	124.447274769547	126.447274769547	122.447274769547	2	-2											10286.8152100914	112.132149154223	117.132149154223	107.132149154223	5	-5								
428.834890286787	124.273007474943	126.273007474943	122.273007474943	2	-2											10305.7259062707	112.074379657904	117.074379657904	107.074379657904	5	-5								
434.846793105872	124.097410435541	126.097410435541	122.097410435541	2	-2											10324.6713667986	112.006689143098	117.006689143098	107.006689143098	5	-5								
440.942977722741	123.920435447682	125.920435447682	121.920435447682	2	-2											10343.651655584	111.92920229789	116.92920229789	106.92920229789	5	-5								
447.124625696987	123.742039884942	125.742039884942	121.742039884942	2	-2											10362.666836653	111.842089410539	116.842089410539	106.842089410539	5	-5								
453.392935152667	123.562523009735	125.562523009735	121.562523009735	2	-2											10381.7169741497	111.745573899525	116.745573899525	106.745573899525	5	-5								
459.749121010527	123.381721190086	125.381721190086	121.381721190086	2	-2											10400.802132336	111.63993816201	116.63993816201	106.63993816201	5	-5								
466.194415223474	123.199289851689	125.199289851689	121.199289851689	2	-2											10419.9223755919	111.525527146611	116.525527146611	106.525527146611	5	-5								
472.730067015354	123.01550503393	125.01550503393	121.01550503393	2	-2											10439.0777684159	111.402749235927	116.402749235927	106.402749235927	5	-5								
479.357343123078	122.830282899427	124.830282899427	120.830282899427	2	-2											10458.2683754249	111.272074302141	116.272074302141	106.272074302141	5	-5								
486.077528042135	122.643457881802	124.643457881802	120.643457881802	2	-2											10477.4942613546	111.134029113089	116.134029113089	106.134029113089	5	-5								
492.891924275558	122.455257858123	124.455257858123	120.455257858123	2	-2											10496.7554910598	110.989190553174	115.989190553174	105.989190553174	5	-5								
499.801852586369	122.265266081496	124.265266081496	120.265266081496	2	-2											10516.0521295146	110.838177320671	115.838177320671	105.838177320671	5	-5								
506.808652253576	122.072322559618	124.072322559618	120.072322559618	2	-2											10535.3842418123	110.681640809306	115.681640809306	105.681640809306	5	-5								
513.913681331742	121.875651933788	123.875651933788	119.875651933788	2	-2											10554.751893166	110.52025575979	115.52025575979	105.52025575979	5	-5								
521.118316914212	121.675070251482	123.675070251482	119.675070251482	2	-2											10574.1551489087	110.354711046301	115.354711046301	105.354711046301	5	-5								
528.423955400013	121.471237684312	123.471237684312	119.471237684312	2	-2											10593.5940744936	110.185700768994	115.185700768994	105.185700768994	5	-5								
535.832012764509	121.265965192374	123.265965192374	119.265965192374	2	-2											10613.0687354939	110.013915738474	115.013915738474	105.013915738474	5	-5								
543.343924833838	121.061216415558	123.061216415558	119.061216415558	2	-2											10632.5791976037	109.840035446992	114.840035446992	104.840035446992	5	-5								
550.961147563213	120.857835902908	122.857835902908	118.857835902908	2	-2											10652.1255266377	109.664720657842	114.664720657842	104.664720657842	5	-5								
558.685157319104	120.65558129739	122.65558129739	118.65558129739	2	-2											10671.7077885316	109.488606762676	114.488606762676	104.488606762676	5	-5								
566.517451165395	120.453582048188	122.453582048188	118.453582048188	2	-2											10691.3260493424	109.3122980464	114.3122980464	104.3122980464	5	-5								
574.459547153537	120.250878559483	122.250878559483	118.250878559483	2	-2											10710.9803752483	109.136362970237	114.136362970237	104.136362970237	5	-5								
582.512984616783	120.047076991945	122.047076991945	118.047076991945	2	-2											10730.6708325494	108.961330549783	113.961330549783	103.961330549783	5	-5								
590.679324468537	119.841983315168	121.841983315168	117.841983315168	2	-2											10750.3974876677	108.787687872477	113.787687872477	103.787687872477	5	-5								
598.960149504888	119.635731470344	121.635731470344	117.635731470344	2	-2											10770.160407147	108.615878759433	113.615878759433	103.615878759433	5	-5								
607.357064711391	119.428214278595	121.428214278595	117.428214278595	2	-2											10789.9596576538	108.446303516252	113.446303516252	103.446303516252	5	-5								
615.871697574141	119.219277785579	121.219277785579	117.219277785579	2	-2											10809.795305977	108.279319632533	113.279319632533	103.279319632533	5	-5								
624.505698395214	119.00910983348	121.00910983348	117.00910983348	2	-2											10829.6674190283	108.115243198375	113.115243198375	103.115243198375	5	-5								
633.260740612525	118.797931021473	120.797931021473	116.797931021473	2	-2											10849.5760638422	107.954350741567	112.954350741567	102.954350741567	5	-5								
642.138521124177	118.586130238182	120.586130238182	116.586130238182	2	-2											10869.5213075767	107.796881177357	112.796881177357	102.796881177357	5	-5								
651.140760617349	118.373899182762	120.373899182762	116.373899182762	2	-2											10889.5032175133	107.643037612301	112.643037612301	102.643037612301	5	-5								
660.2692039018	118.161666673962	120.161666673962	116.161666673962	2	-2											10909.521861057	107.492988850108	112.492988850108	102.492988850108	5	-5								
669.525620248048	117.949432050883	119.949432050883	115.949432050883	2	-2											10929.5773057366	107.346870588433	112.346870588433	102.346870588433	5	-5								
