## Summury
〔bg=#C6E0B4,b〕Date	〔bg=#C6E0B4,b〕Line	〔bg=#C6E0B4,b〕VP mold	〔bg=#C6E0B4,b〕IR	〔bg=#C6E0B4,b〕Lot date	〔bg=#C6E0B4,b〕Sub 1-Laser cutting VP				〔bg=#C6E0B4,b〕Vision VP+CD 		〔bg=#C6E0B4,b〕Total NG sub 1	〔bg=#C6E0B4,fg=#FF0000,b〕NG rate sub 1	〔bg=#C6E0B4,b〕Input	〔bg=#C6E0B4,b〕Air leak	〔bg=#C6E0B4,b〕Sigma			〔bg=#C6E0B4,b〕Hearing		〔bg=#C6E0B4,b〕Total NG function	〔bg=#C6E0B4,fg=#FF0000,b〕NG rate function	
					〔b〕Input	〔b〕VP/CD separate	〔bg=#FFFF00,b〕VP bending check by VP ass'y guige	〔bg=#FFFF00,fg=#FF0000,b〕Bending rate	〔b〕VP+CD separate	〔fg=#FF0000,b〕VP+CD separate  Rate					〔b〕SPL	〔b〕THD	〔b〕SPL+THD	〔b〕Noise	〔b〕Touch			
		〔bg=#F4B084〕VP #7( Improve)		〔bg=#F4B084〕28/6	〔bg=#F4B084〕500	〔bg=#F4B084〕0	〔bg=#F4B084〕249	〔bg=#F4B084,fg=#FF0000〕49.8%		〔bg=#F4B084,fg=#FF0000〕0.0%	〔bg=#F4B084〕250	〔bg=#F4B084,fg=#FF0000〕50.0%	179	2	0	0	0	10	0	12	〔fg=#FF0000〕6.7%	
		VP #3( Improve)		28/6	500	0	〔bg=#FFFF00〕17	〔bg=#FFFF00,fg=#FF0000〕3.4%		〔bg=#FFFF00,fg=#FF0000〕0.0%	17	〔fg=#FF0000〕3.4%	470	0	0	0	0	19	0	19	〔fg=#FF0000〕4.0%	
7/6/2024	E2-3B	〔bg=#F4B084〕VP #4( Normal)		〔bg=#F4B084〕15/6	〔bg=#F4B084〕500	〔bg=#F4B084〕0	〔bg=#F4B084〕418	〔bg=#F4B084,fg=#FF0000〕83.6%		〔bg=#F4B084,fg=#FF0000〕0.0%	〔bg=#F4B084〕420	〔bg=#F4B084,fg=#FF0000〕84.0%	94	0	0	0	0	4	0	4	〔fg=#FF0000〕4.3%	
		VP #10( Improve)		28/6	500	0	2	〔fg=#FF0000〕0.4%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.4%	498	0	0	0	0	24	0	24	〔fg=#FF0000〕4.8%	
		VP #5( Normal)		28/6	500	0	4	〔fg=#FF0000〕0.8%		〔fg=#FF0000〕0.0%	4	〔fg=#FF0000〕0.8%	493	0	0	0	0	20	0	20	〔fg=#FF0000〕4.1%	
7/8/2024	E2-3B	〔bg=#F4B084〕VP #4( Improve)		〔bg=#F4B084〕3/7	〔bg=#F4B084〕600	〔bg=#F4B084〕0	〔bg=#F4B084〕144	〔bg=#F4B084,fg=#FF0000〕24.0%		〔bg=#F4B084,fg=#FF0000〕0.0%	〔bg=#F4B084〕144	〔bg=#F4B084,fg=#FF0000〕24.0%	458	1	0	0	1	30	0	32	〔fg=#FF0000〕7.0%	NG high
		〔bg=#F4B084〕VP #6( Improve)		〔bg=#F4B084〕3/7	〔bg=#F4B084〕600	〔bg=#F4B084〕0	〔bg=#F4B084〕85	〔bg=#F4B084,fg=#FF0000〕14.2%		〔bg=#F4B084,fg=#FF0000〕0.0%	〔bg=#F4B084〕86	〔bg=#F4B084,fg=#FF0000〕14.3%	506	0	0	0	0	18	0	18	〔fg=#FF0000〕3.6%	
		〔bg=#F4B084〕VP 8( Improve)		〔bg=#F4B084〕3/7	〔bg=#F4B084〕600	〔bg=#F4B084〕0	〔bg=#F4B084〕322	〔bg=#F4B084,fg=#FF0000〕53.7%		〔bg=#F4B084,fg=#FF0000〕0.0%	〔bg=#F4B084〕323	〔bg=#F4B084,fg=#FF0000〕53.8%	277	1	0	0	0	10	0	11	〔fg=#FF0000〕4.0%	
7/9/2024	E2-3B	〔bg=#F4B084〕VP #2( Improve)		〔bg=#F4B084〕3/7	〔bg=#F4B084〕600	〔bg=#F4B084〕0	〔bg=#F4B084〕121	〔bg=#F4B084,fg=#FF0000〕20.2%		〔bg=#F4B084,fg=#FF0000〕0.0%	〔bg=#F4B084〕121	〔bg=#F4B084,fg=#FF0000〕20.2%	408	0	0	0	0	14	0	14	〔fg=#FF0000〕3.4%	
		VP #3( Improve)		3/7	600	0	42	〔fg=#FF0000〕7.0%		〔fg=#FF0000〕0.0%	42	〔fg=#FF0000〕7.0%	564	1	0	0	0	19	0	20	〔fg=#FF0000〕3.5%	
