## Summury
〔bg=#C6E0B4,b〕Date	〔bg=#C6E0B4,b〕Line	〔bg=#C6E0B4,b〕VP mold	〔bg=#C6E0B4,b〕IR	〔bg=#C6E0B4,b〕Lot date	〔bg=#C6E0B4,b〕Sub 1-Laser cutting VP				〔bg=#C6E0B4,b〕Vision VP+CD 		〔bg=#C6E0B4,b〕Total NG sub 1	〔bg=#C6E0B4,fg=#FF0000,b〕NG rate sub 1	〔bg=#C6E0B4,b〕Input	〔bg=#C6E0B4,b〕Air leak	〔bg=#C6E0B4,b〕Sigma			〔bg=#C6E0B4,b〕Hearing		〔bg=#C6E0B4,b〕Total NG function	〔bg=#C6E0B4,fg=#FF0000,b〕NG rate function	
					〔b〕Input	〔b〕VP/CD separate	〔bg=#FFFF00,b〕VP bending check by VP ass'y guige	〔bg=#FFFF00,fg=#FF0000,b〕Bending rate	〔b〕VP+CD separate	〔fg=#FF0000,b〕VP+CD separate  Rate					〔b〕SPL	〔b〕THD	〔b〕SPL+THD	〔b〕Noise	〔b〕Touch			
		〔bg=#F8CBAD〕VP #4	〔bg=#F8CBAD〕 IR240823007	〔bg=#F8CBAD〕23/8	〔bg=#F8CBAD〕600	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕123	〔bg=#F8CBAD,fg=#FF0000〕20.5%		〔bg=#F8CBAD,fg=#FF0000〕0.0%	123	〔fg=#FF0000〕20.5%	469	0	0	0	0	20	7	27	〔fg=#FF0000〕5.8%	
		VP #5	 IR240823007	23/8	597	0	13	〔fg=#FF0000〕2.2%		〔fg=#FF0000〕0.0%	13	〔fg=#FF0000〕2.2%	575	0	0	0	0	15	3	18	〔fg=#FF0000〕3.1%	
		VP #7	 IR240823007	23/8	600	0	9	〔fg=#FF0000〕1.5%		〔fg=#FF0000〕0.0%	9	〔fg=#FF0000〕1.5%	581	0	0	0	0	20	4	24	〔fg=#FF0000〕4.1%	
		VP #9	 IR240823007	23/8	600	0	20	〔fg=#FF0000〕3.3%		〔fg=#FF0000〕0.0%	20	〔fg=#FF0000〕3.3%	583	0	0	0	0	30	3	33	〔fg=#FF0000〕5.7%	
		VP #10	 IR240823007	23/8	599	0	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	591	0	0	0	0	22	5	27	〔fg=#FF0000〕4.6%	
8/30/2024	E2-3A	〔bg=#F8CBAD〕VP #2	〔bg=#F8CBAD〕 IR240828007	〔bg=#F8CBAD〕28/8	〔bg=#F8CBAD〕600	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕181	〔bg=#F8CBAD,fg=#FF0000〕30.2%		〔bg=#F8CBAD,fg=#FF0000〕0.0%	〔bg=#F8CBAD〕181	〔bg=#F8CBAD,fg=#FF0000〕30.2%	408	0	0	0	0	13	2	15	〔fg=#FF0000〕3.7%	
		〔bg=#F8CBAD〕VP #3	〔bg=#F8CBAD〕 IR240828007	〔bg=#F8CBAD〕28/8	〔bg=#F8CBAD〕600	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕217	〔bg=#F8CBAD,fg=#FF0000〕36.2%		〔bg=#F8CBAD,fg=#FF0000〕0.0%	〔bg=#F8CBAD〕217	〔bg=#F8CBAD,fg=#FF0000〕36.2%	382	0	0	0	1	14	0	15	〔fg=#FF0000〕3.9%	
		〔bg=#F8CBAD〕VP #4	〔bg=#F8CBAD〕 IR240828007	〔bg=#F8CBAD〕28/8	〔bg=#F8CBAD〕600	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕320	〔bg=#F8CBAD,fg=#FF0000〕53.3%		〔bg=#F8CBAD,fg=#FF0000〕0.0%	〔bg=#F8CBAD〕320	〔bg=#F8CBAD,fg=#FF0000〕53.3%	274	0	0	0	0	10	0	10	〔fg=#FF0000〕3.6%	
		VP #5	 IR240828007	28/8	600	0	59	〔fg=#FF0000〕9.8%		〔fg=#FF0000〕0.0%	59	〔fg=#FF0000〕9.8%	538	0	0	0	1	19	0	20	〔fg=#FF0000〕3.7%	
		VP #6	 IR240828007	28/8	600	0	89	〔fg=#FF0000〕14.8%		〔fg=#FF0000〕0.0%	89	〔fg=#FF0000〕14.8%	507	0	0	0	0	15	2	17	〔fg=#FF0000〕3.4%	
		VP #7	 IR240828007	28/8	600	0	34	〔fg=#FF0000〕5.7%		〔fg=#FF0000〕0.0%	34	〔fg=#FF0000〕5.7%	563	0	0	1	0	24	5	30	〔fg=#FF0000〕5.3%	
		〔bg=#F8CBAD〕VP #8	〔bg=#F8CBAD〕 IR240828007	〔bg=#F8CBAD〕28/8	〔bg=#F8CBAD〕600	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕169	〔bg=#F8CBAD,fg=#FF0000〕28.2%		〔bg=#F8CBAD,fg=#FF0000〕0.0%	〔bg=#F8CBAD〕169	〔bg=#F8CBAD,fg=#FF0000〕28.2%	428	0	0	0	0	13	5	18	〔fg=#FF0000〕4.2%	
		VP #9	 IR240828007	28/8	600	0	86	〔fg=#FF0000〕14.3%		〔fg=#FF0000〕0.0%	86	〔fg=#FF0000〕14.3%	507	1	0	0	0	22	0	23	〔fg=#FF0000〕4.5%	
		VP #10	 IR240828007	28/8	599	0	4	〔fg=#FF0000〕0.7%		〔fg=#FF0000〕0.0%	4	〔fg=#FF0000〕0.7%	589	0	0	0	0	14	5	19	〔fg=#FF0000〕3.2%	
8/31/2024	E2-3B	VP #2	 IR240828007	28/8	600	0	33	〔fg=#FF0000〕5.5%		〔fg=#FF0000〕0.0%	37	〔fg=#FF0000〕6.2%	362	0	0	0	0	13	0	13	〔fg=#FF0000〕3.6%	
		VP #3	 IR240828007	28/8	600	0	39	〔fg=#FF0000〕6.5%		〔fg=#FF0000〕0.0%	42	〔fg=#FF0000〕7.0%	562	0	0	2	0	15	5	22	〔fg=#FF0000〕3.9%	
		〔bg=#F8CBAD〕VP #4	〔bg=#F8CBAD〕 IR240828007	〔bg=#F8CBAD〕28/8	〔bg=#F8CBAD〕600	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕117	〔bg=#F8CBAD,fg=#FF0000〕19.5%		〔bg=#F8CBAD,fg=#FF0000〕0.0%	〔bg=#F8CBAD〕121	〔bg=#F8CBAD,fg=#FF0000〕20.2%	〔bg=#F8CBAD〕244	〔bg=#F8CBAD〕2	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕10	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕12	〔bg=#F8CBAD,fg=#FF0000〕4.9%	
		VP #5	 IR240828007	28/8	600	0	13	〔fg=#FF0000〕2.2%		〔fg=#FF0000〕0.0%	14	〔fg=#FF0000〕2.3%	585	1	0	0	0	22	0	23	〔fg=#FF0000〕3.9%	
		VP #6	 IR240828007	28/8	600	0	8	〔fg=#FF0000〕1.3%		〔fg=#FF0000〕0.0%	11	〔fg=#FF0000〕1.8%	594	0	0	0	2	23	0	25	〔fg=#FF0000〕4.2%	
		VP #7	 IR240828007	28/8	600	0	25	〔fg=#FF0000〕4.2%		〔fg=#FF0000〕0.0%	25	〔fg=#FF0000〕4.2%	575	0	0	0	0	22	0	22	〔fg=#FF0000〕3.8%	
		〔bg=#F8CBAD〕VP #8	〔bg=#F8CBAD〕 IR240828007	〔bg=#F8CBAD〕28/8	〔bg=#F8CBAD〕600	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕174	〔bg=#F8CBAD,fg=#FF0000〕29.0%		〔bg=#F8CBAD,fg=#FF0000〕0.0%	〔bg=#F8CBAD〕178	〔bg=#F8CBAD,fg=#FF0000〕29.7%	〔bg=#F8CBAD〕426	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕25	〔bg=#F8CBAD〕6	〔bg=#F8CBAD〕31	〔bg=#F8CBAD,fg=#FF0000〕7.3%	
		VP #9	 IR240828007	28/8	600	0	23	〔fg=#FF0000〕3.8%		〔fg=#FF0000〕0.0%	23	〔fg=#FF0000〕3.8%	576	0	0	0	1	20	2	23	〔fg=#FF0000〕4.0%	
		VP #10	 IR240828007	28/8	600	0	7	〔fg=#FF0000〕1.2%		〔fg=#FF0000〕0.0%	7	〔fg=#FF0000〕1.2%	595	0	0	3	0	20	0	23	〔fg=#FF0000〕3.9%	
9/1/2024	E2-3B	VP #2	 IR240828007	28/8	600	0		〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	22	〔fg=#FF0000〕3.7%	567	1	0	0	0	20	0	21	〔fg=#FF0000〕3.7%	
		VP #3	 IR240828007	28/8	600	0		〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	16	〔fg=#FF0000〕2.7%	567	1	0	0	0	21	0	22	〔fg=#FF0000〕3.9%	
		〔bg=#F8CBAD〕VP #4	〔bg=#F8CBAD〕 IR240828007	〔bg=#F8CBAD〕28/8	〔bg=#F8CBAD〕600	〔bg=#F8CBAD〕0		〔bg=#F8CBAD,fg=#FF0000〕0.0%		〔bg=#F8CBAD,fg=#FF0000〕0.0%	〔bg=#F8CBAD〕48	〔bg=#F8CBAD,fg=#FF0000〕8.0%	〔bg=#F8CBAD〕539	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕1	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕24	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕25	〔bg=#F8CBAD,fg=#FF0000〕4.6%	
		VP #5	 IR240828007	28/8	600	0		〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	583	0	0	0	0	17	1	18	〔fg=#FF0000〕3.1%	
		VP #6	 IR240828007	28/8	600	0		〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	592	4	0	0	0	19	0	23	〔fg=#FF0000〕3.9%	
		VP #7	 IR240828007	28/8	600	0		〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	4	〔fg=#FF0000〕0.7%	594	1	0	2	0	18	3	24	〔fg=#FF0000〕4.0%	
		〔bg=#F8CBAD〕VP #8	〔bg=#F8CBAD〕 IR240828007	〔bg=#F8CBAD〕28/8	〔bg=#F8CBAD〕600	〔bg=#F8CBAD〕0		〔bg=#F8CBAD,fg=#FF0000〕0.0%		〔bg=#F8CBAD,fg=#FF0000〕0.0%	〔bg=#F8CBAD〕136	〔bg=#F8CBAD,fg=#FF0000〕22.7%	〔bg=#F8CBAD〕457	〔bg=#F8CBAD〕1	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕1	〔bg=#F8CBAD〕25	〔bg=#F8CBAD〕4	〔bg=#F8CBAD〕31	〔bg=#F8CBAD,fg=#FF0000〕6.8%	
		VP #9	 IR240828007	28/8	600	0		〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	591	1	0	0	0	17	5	23	〔fg=#FF0000〕3.9%	
		VP #10	 IR240828007	28/8	600	0		〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	578	0	0	0	1	20	0	21	〔fg=#FF0000〕3.6%	
9/5/2024	E2-3B	VP #2	 IR240830005	30/8	600	0	23	〔fg=#FF0000〕3.8%		〔fg=#FF0000〕0.0%	24	〔fg=#FF0000〕4.0%	575	1	0	0	1	22	0	24	〔fg=#FF0000〕4.2%	
		VP #3	 IR240830005	30/8	600	0	6	〔fg=#FF0000〕1.0%		〔fg=#FF0000〕0.0%	6	〔fg=#FF0000〕1.0%	580	0	0	0	0	16	5	21	〔fg=#FF0000〕3.6%	
		VP #4	 IR240830005	30/8	600	0	12	〔fg=#FF0000〕2.0%		〔fg=#FF0000〕0.0%	12	〔fg=#FF0000〕2.0%	582	0	0	1	1	22	0	24	〔fg=#FF0000〕4.1%	
		VP #5	 IR240830005	30/8	600	0	5	〔fg=#FF0000〕0.8%		〔fg=#FF0000〕0.0%	5	〔fg=#FF0000〕0.8%	548	2	0	0	1	16	2	21	〔fg=#FF0000〕3.8%	
		VP #6	 IR240830005	30/8	600	0	13	〔fg=#FF0000〕2.2%		〔fg=#FF0000〕0.0%	14	〔fg=#FF0000〕2.3%	577	0	0	0	0	21	0	21	〔fg=#FF0000〕3.6%	
		VP #7	 IR240830005	30/8	600	0	6	〔fg=#FF0000〕1.0%		〔fg=#FF0000〕0.0%	6	〔fg=#FF0000〕1.0%	577	0	0	0	2	21	0	23	〔fg=#FF0000〕4.0%	
		VP #8	 IR240830005	30/8	600	0	21	〔fg=#FF0000〕3.5%		〔fg=#FF0000〕0.0%	22	〔fg=#FF0000〕3.7%	588	0	0	1	0	18	6	25	〔fg=#FF0000〕4.3%	
		VP #9	 IR240830005	30/8	600	0	4	〔fg=#FF0000〕0.7%		〔fg=#FF0000〕0.0%	4	〔fg=#FF0000〕0.7%	590	0	0	1	1	19	3	24	〔fg=#FF0000〕4.1%	
		VP #10	 IR240830005	30/8	600	0	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	594	0	0	0	1	15	5	21	〔fg=#FF0000〕3.5%	
9/6/2024	E2-3B  Same lot C2	VP #2	 IR240830005	30/8	600	0	13	〔fg=#FF0000〕2.2%		〔fg=#FF0000〕0.0%	13	〔fg=#FF0000〕2.2%	592	0	0	0	0	21	0	21	〔fg=#FF0000〕3.5%	
		VP #3	 IR240830005	30/8	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	593	0	0	0	1	14	0	15	〔fg=#FF0000〕2.5%	
		VP #5	 IR240830005	30/8	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	592	0	0	0	0	12	4	16	〔fg=#FF0000〕2.7%	
		VP #6	 IR240830005	30/8	600	0	4	〔fg=#FF0000〕0.7%		〔fg=#FF0000〕0.0%	4	〔fg=#FF0000〕0.7%	596	0	0	0	0	18	4	22	〔fg=#FF0000〕3.7%	
		VP #8	 IR240830005	30/8	600	0	28	〔fg=#FF0000〕4.7%		〔fg=#FF0000〕0.0%	28	〔fg=#FF0000〕4.7%	555	0	0	0	0	24	0	24	〔fg=#FF0000〕4.3%	
	C2-3A  Same lot E2	VP #2	 IR240830005	30/8	600	0	58	〔fg=#FF0000〕9.7%		〔fg=#FF0000〕0.0%	63	〔fg=#FF0000〕10.5%	533	0	0	0	0	9	4	13	〔fg=#FF0000〕2.4%	
		VP #3	 IR240830005	30/8	600	0	5	〔fg=#FF0000〕0.8%		〔fg=#FF0000〕0.0%	28	〔fg=#FF0000〕4.7%	581	0	0	0	0	12	3	15	〔fg=#FF0000〕2.6%	
		VP #5	 IR240830005	30/8	600	0	15	〔fg=#FF0000〕2.5%		〔fg=#FF0000〕0.0%	22	〔fg=#FF0000〕3.7%	585	0	0	0	0	15	4	19	〔fg=#FF0000〕3.2%	
		VP #6	 IR240830005	30/8	600	1	44	〔fg=#FF0000〕7.3%		〔fg=#FF0000〕0.0%	56	〔fg=#FF0000〕9.3%	571	0	0	0	0	10	6	16	〔fg=#FF0000〕2.8%	
		VP #8	 IR240830005	30/8	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	4	〔fg=#FF0000〕0.7%	541	0	0	0	0	18	2	20	〔fg=#FF0000〕3.7%	
9/6/2024	E2-3A	VP #2	 IR240904028	4/9	600	0	6	〔fg=#FF0000〕1.0%		〔fg=#FF0000〕0.0%	7	〔fg=#FF0000〕1.2%	592	0	0	0	0	18	0	18	〔fg=#FF0000〕3.0%	
		VP #3	 IR240904028	4/9	600	0	3	〔fg=#FF0000〕0.5%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	572	0	0	0	0	16	3	19	〔fg=#FF0000〕3.3%	
		VP #4	 IR240904028	4/9	600	0	44	〔bg=#B4C6E7,fg=#FF0000〕7.3%		〔bg=#B4C6E7,fg=#FF0000〕0.0%	45	〔fg=#FF0000〕7.5%	540	0	0	0	0	15	4	19	〔fg=#FF0000〕3.5%	
		VP #5	 IR240904028	4/9	600	0	3	〔fg=#FF0000〕0.5%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	593	1	0	0	0	20	2	23	〔fg=#FF0000〕3.9%	
		VP #6	 IR240904028	4/9	600	0	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	588	0	0	0	0	21	0	21	〔fg=#FF0000〕3.6%	
		VP #7	 IR240904028	4/9	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	597	0	0	2	0	13	4	19	〔fg=#FF0000〕3.2%	
		VP #8	 IR240904028	4/9	600	0	24	〔bg=#B4C6E7,fg=#FF0000〕4.0%		〔bg=#B4C6E7,fg=#FF0000〕0.0%	25	〔fg=#FF0000〕4.2%	558	0	0	0	0	20	4	24	〔fg=#FF0000〕4.3%	
		VP #10	 IR240904028	4/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	584	2	1	0	1	20	3	27	〔fg=#FF0000〕4.6%	
9/7/2024	C2-3B	VP #2	 IR240904028	4/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	575	0	0	1	0	15	5	21	〔fg=#FF0000〕3.7%	
		VP #3	 IR240904028	4/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	590	0	0	0	0	16	4	20	〔fg=#FF0000〕3.4%	
		VP #4	 IR240904028	4/9	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	559	0	0	0	0	15	2	17	〔fg=#FF0000〕3.0%	
		VP #5	 IR240904028	4/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	570	0	0	1	0	10	4	15	〔fg=#FF0000〕2.6%	
		VP #6	 IR240904028	4/9	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	576	0	0	0	0	10	3	13	〔fg=#FF0000〕2.3%	
		VP #7	 IR240904028	4/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	552	0	0	0	0	7	4	11	〔fg=#FF0000〕2.0%	
		VP #8	 IR240904028	4/9	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	589	0	0	1	0	9	2	12	〔fg=#FF0000〕2.0%	
		VP #10	 IR240904028	4/9	600	1	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	574	0	0	0	0	17	0	17	〔fg=#FF0000〕3.0%	
9/9/2024	C2-3A  Same lot E2	VP #2	 IR240830005	30/8	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	564	0	0	0	0	14	0	14	〔fg=#FF0000〕2.5%	
		VP #3	 IR240830005	30/8	600	0	9	〔fg=#FF0000〕1.5%		〔fg=#FF0000〕0.0%	39	〔fg=#FF0000〕6.5%	567	0	0	0	0	9	4	13	〔fg=#FF0000〕2.3%	
		VP #5	 IR240830005	30/8	600	0	4	〔fg=#FF0000〕0.7%		〔fg=#FF0000〕0.0%	13	〔fg=#FF0000〕2.2%	584	0	0	0	0	14	1	15	〔fg=#FF0000〕2.6%	
		VP #6	 IR240830005	30/8	600	0	10	〔fg=#FF0000〕1.7%		〔fg=#FF0000〕0.0%	19	〔fg=#FF0000〕3.2%	541	0	0	0	0	13	2	15	〔fg=#FF0000〕2.8%	
		VP #8	 IR240830005	30/8	600	0	87	〔fg=#FF0000〕14.5%		〔fg=#FF0000〕0.0%	92	〔fg=#FF0000〕15.3%	584	0	0	0	0	15	6	21	〔fg=#FF0000〕3.6%	
		VP #9	 IR240830005	30/8	600	0	42	〔fg=#FF0000〕7.0%		〔fg=#FF0000〕0.0%	44	〔fg=#FF0000〕7.3%	544	0	0	0	0	12	4	16	〔fg=#FF0000〕2.9%	
9/11/2024	E2-3A	VP #2	 IR240906038	6/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	11	〔fg=#FF0000〕1.8%	585	0	0	0	0	19	0	19	〔fg=#FF0000〕3.2%	
		VP #3	 IR240906038	6/9	600	0	5	〔fg=#FF0000〕0.8%		〔fg=#FF0000〕0.0%	5	〔fg=#FF0000〕0.8%	580	2	1	1	1	25	0	30	〔fg=#FF0000〕5.2%	
		VP #4	 IR240906038	6/9	600	0	16	〔bg=#BDD7EE,fg=#FF0000〕2.7%		〔bg=#BDD7EE,fg=#FF0000〕0.0%	17	〔fg=#FF0000〕2.8%	548	0	0	0	1	27	5	33	〔fg=#FF0000〕6.0%	
		VP #5	 IR240906038	6/9	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	598	0	0	1	1	22	3	27	〔fg=#FF0000〕4.5%	
		VP #6	 IR240906038	6/9	600	0	15	〔bg=#BDD7EE,fg=#FF0000〕2.5%		〔bg=#BDD7EE,fg=#FF0000〕0.0%	20	〔fg=#FF0000〕3.3%	588	0	0	0	0	23	3	26	〔fg=#FF0000〕4.4%	
		VP #7	 IR240906038	6/9	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	585	2	0	0	0	20	0	22	〔fg=#FF0000〕3.8%	
		VP #8	 IR240906038	6/9	600	0	43	〔bg=#BDD7EE,fg=#FF0000〕7.2%		〔bg=#BDD7EE,fg=#FF0000〕0.0%	44	〔fg=#FF0000〕7.3%	555	0	0	0	0	24	6	30	〔fg=#FF0000〕5.4%	
		VP #10	 IR240906038	6/9	600	0	3	〔fg=#FF0000〕0.5%		〔fg=#FF0000〕0.0%	5	〔fg=#FF0000〕0.8%	594	0	0	0	0	27	0	27	〔fg=#FF0000〕4.5%	
9/11/2024	C2-3A	VP #2	 IR240906038	6/9	600	0	11	〔fg=#FF0000〕1.8%		〔fg=#FF0000〕0.0%	11	〔fg=#FF0000〕1.8%	588	0	0	0	0	11	2	13	〔fg=#FF0000〕2.2%	
		VP #3	 IR240906038	6/9	600	0	3	〔fg=#FF0000〕0.5%		〔fg=#FF0000〕0.0%	6	〔fg=#FF0000〕1.0%	594	0	0	0	0	13	2	15	〔fg=#FF0000〕2.5%	
		VP #4	 IR240906038	6/9	600	0	21	〔bg=#BDD7EE,fg=#FF0000〕3.5%		〔bg=#BDD7EE,fg=#FF0000〕0.0%	22	〔fg=#FF0000〕3.7%	578	0	0	0	0	14	5	19	〔fg=#FF0000〕3.3%	
		VP #5	 IR240906038	6/9	600	0	4	〔fg=#FF0000〕0.7%		〔fg=#FF0000〕0.0%	4	〔fg=#FF0000〕0.7%	596	0	0	0	0	13	2	15	〔fg=#FF0000〕2.5%	
		VP #6	 IR240906038	6/9	600	1	50	〔bg=#9BC2E6,fg=#FF0000〕8.3%		〔bg=#9BC2E6,fg=#FF0000〕0.0%	53	〔fg=#FF0000〕8.8%	547	0	0	0	0	1	1	2	〔fg=#FF0000〕0.4%	
		VP #7	 IR240906038	6/9	600	0	3	〔fg=#FF0000〕0.5%		〔fg=#FF0000〕0.0%	7	〔fg=#FF0000〕1.2%	593	0	0	0	0	8	1	9	〔fg=#FF0000〕1.5%	
		VP #8	 IR240906038	6/9	600	0	65	〔bg=#BDD7EE,fg=#FF0000〕10.8%		〔bg=#BDD7EE,fg=#FF0000〕0.0%	71	〔fg=#FF0000〕11.8%	529	0	0	0	0	9	4	13	〔fg=#FF0000〕2.5%	
		VP #10	 IR240906038	6/9	600	0	7	〔fg=#FF0000〕1.2%		〔fg=#FF0000〕0.0%	9	〔fg=#FF0000〕1.5%	591	0	0	0	0	7	3	10	〔fg=#FF0000〕1.7%	
9/13/2024	C2-3B	VP #2	 IR240911025	11/9	600	0	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	593	0	0	0	0	10	1	11	〔fg=#FF0000〕1.9%	
		VP #3	 IR240911025	11/9	600	1	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	5	〔fg=#FF0000〕0.8%	576	0	0	0	0	4	1	5	〔fg=#FF0000〕0.9%	
		VP #4	 IR240911025	11/9	600	0	4	〔fg=#FF0000〕0.7%		〔fg=#FF0000〕0.0%	5	〔fg=#FF0000〕0.8%	587	0	0	1	2	7	2	12	〔fg=#FF0000〕2.0%	
		VP #5	 IR240911025	11/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	584	0	0	0	0	10	5	15	〔fg=#FF0000〕2.6%	
		VP #8	 IR240911025	11/9	600	0	7	〔fg=#FF0000〕1.2%		〔fg=#FF0000〕0.0%	7	〔fg=#FF0000〕1.2%	586	0	0	0	0	3	2	5	〔fg=#FF0000〕0.9%	
		VP #9	 IR240911025	11/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	558	0	0	0	0	6	3	9	〔fg=#FF0000〕1.6%	
		VP #10	 IR240911025	11/9	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	596	0	0	0	0	6	3	9	〔fg=#FF0000〕1.5%	
9/13/2024	E2-3A	VP #2	 IR240911025	11/9	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	596	0	1	0	0	17	3	21	〔fg=#FF0000〕3.5%	
		VP #3	 IR240911025	11/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	594	0	0	0	1	18	0	19	〔fg=#FF0000〕3.2%	
		VP #4	 IR240911025	11/9	600	0	34	〔bg=#BDD7EE,fg=#FF0000〕5.7%		〔bg=#BDD7EE,fg=#FF0000〕0.0%	34	〔fg=#FF0000〕5.7%	559	0	0	0	0	20	5	25	〔fg=#FF0000〕4.5%	
		VP #5	 IR240911025	11/9	600	0	5	〔fg=#FF0000〕0.8%		〔fg=#FF0000〕0.0%	5	〔fg=#FF0000〕0.8%	583	0	0	0	0	18	0	18	〔fg=#FF0000〕3.1%	
		VP #8	 IR240911025	11/9	600	0	5	〔fg=#FF0000〕0.8%		〔fg=#FF0000〕0.0%	5	〔fg=#FF0000〕0.8%	585	0	0	1	0	22	0	23	〔fg=#FF0000〕3.9%	
		VP #9	 IR240911025	11/9	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	588	1	0	1	1	20	0	23	〔fg=#FF0000〕3.9%	
		VP #10	 IR240911025	11/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	593	0	0	1	1	19	0	21	〔fg=#FF0000〕3.5%	
9/17/2024	C2-3B	VP #3	 IR240914003	14/9	600	0	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	569	0	0	1	0	3	2	6	〔fg=#FF0000〕1.1%	
