HZ	〔b〕OK										〔b〕편심											HZ	OK_MAX	OK-MIN	NG-MAX	NG-MIN			
	〔bg=#F2DCDB〕# 1	〔bg=#F2DCDB〕# 2	〔bg=#F2DCDB〕# 3	〔bg=#F2DCDB〕# 4	〔bg=#F2DCDB〕# 5	〔bg=#F2DCDB〕# 6	〔bg=#F2DCDB〕# 7	〔bg=#F2DCDB〕# 8	〔bg=#F2DCDB〕# 9	〔bg=#F2DCDB〕# 10	〔bg=#DCE6F1〕# 1	〔bg=#DCE6F1〕# 2	〔bg=#DCE6F1〕# 3	〔bg=#DCE6F1〕# 4	〔bg=#DCE6F1〕# 5	〔bg=#DCE6F1〕# 6	〔bg=#DCE6F1〕# 7	〔bg=#DCE6F1〕# 8	〔bg=#DCE6F1〕# 9	〔bg=#DCE6F1〕# 10	〔bg=#DCE6F1〕# 11	HZ	OK_MAX	OK-MIN	NG-MAX	NG-MIN			
56	79.495	79.104	79.401	79.15	79.23	78.659	79.2	79.609	79.744	81.297	80.38	80.255	79.183	82.285	78.941	80.601	80.808	80.509	80.559	79.051	80.199	56	81.297	78.659	82.285	78.941		2.63799999999999	3.34399999999999
60	80.071	79.827	79.635	79.345	80.653	79.089	79.352	80.123	80.236	81.853	81.145	80.822	81.227	82.513	79.653	81.363	80.83	80.574	80.731	79.119	80.523	60	81.853	79.089	82.513	79.119		2.764	3.39400000000001
63	80.17	79.787	80.416	79.844	80.187	78.772	79.985	80.828	80.364	81.551	81.588	80.843	81.443	83.131	80.243	81.487	81.641	80.536	81.345	80.517	80.418	63	81.551	78.772	83.131	80.243		2.779	2.888
67	80.77	80.262	79.962	80.346	81.371	79.331	80.358	80.829	80.755	82.273	81.69	81.52	81.021	83.059	80.272	82.008	81.522	81.283	81.448	80.155	81.174	67	82.273	79.331	83.059	80.155		2.94199999999999	2.904
71	81.326	81.235	80.628	80.863	81.545	80.269	80.807	81.122	81.226	82.579	81.804	82.096	81.453	83.858	80.549	82.188	81.798	81.362	81.725	80.595	81.284	71	82.579	80.269	83.858	80.549		2.30999999999999	3.309
75	81.555	80.614	80.997	81.404	82.073	80.727	80.745	81.513	81.751	82.829	82.54	82.029	82.602	83.969	80.75	82.857	82.055	81.623	82.15	81.101	81.467	75	82.829	80.614	83.969	80.75		2.21499999999999	3.21899999999999
80	81.763	81.209	81.085	81.505	82.382	80.945	81.062	81.429	81.997	83.268	82.656	82.714	82.59	84.223	81.269	82.908	82.886	82.058	82.717	81.941	82.181	80	83.268	80.945	84.223	81.269		2.32300000000001	2.95399999999999
85	81.842	81.73	81.691	81.495	82.416	81.099	81.442	82.411	82.29	83.414	83.238	82.924	82.856	84.639	81.564	83.089	82.8	82.246	82.888	81.93	82.479	85	83.414	81.099	84.639	81.564		2.315	3.075
90	82.51	81.76	81.892	81.95	82.678	81.49	81.759	82.592	82.613	83.647	83.381	82.948	83.241	84.86	81.884	83.419	83.343	82.653	83.097	82.396	82.775	90	83.647	81.49	84.86	81.884		2.15700000000001	2.976
95	82.796	81.949	82.26	82.203	83.009	81.743	82.237	83.072	82.823	84.027	83.689	83.427	83.646	85.117	82.405	83.622	83.654	82.857	83.181	82.767	83.199	95	84.027	81.743	85.117	82.405		2.28400000000001	2.712
