## SPL
Hz	#1	#2	#3	#4	#5	#6	#7	#8	#9	#10			
〔bg=#FFFF00〕18.75	〔bg=#FFFF00〕91.8510199439916	〔bg=#FFFF00〕91.9494605707397	〔bg=#FFFF00〕91.8517211410141	〔bg=#FFFF00〕92.0289141515426	〔bg=#FFFF00〕92.1122435061213	〔bg=#FFFF00〕92.3730912457448	〔bg=#FFFF00〕92.5959210258593	〔bg=#FFFF00〕92.2253653593499	〔bg=#FFFF00〕92.4333475703213	〔bg=#FFFF00〕92.3087676129766	〔bg=#FFFF00〕92.5959210258593	〔bg=#FFFF00〕91.8510199439916	〔bg=#FFFF00〕0.744901081867695
241.214604729447	120.982382205864	120.922042568553	120.690872304515	120.922725687137	120.955193270494	120.781199027875	120.88406787251	120.788678763673	120.810723054171	121.314692984004	121.314692984004	120.690872304515	0.623820679489768
244.269158018817	121.08944360933	121.029485708651	120.807619224826	121.03665727925	121.072855204679	120.892850688627	120.997433857747	120.898704014405	120.919774098163	121.434140060535	121.434140060535	120.807619224826	0.626520835708632
247.362391784472	121.198393474568	121.139485304167	120.927153354406	121.150995079628	121.191655798858	121.007882087172	121.114561442806	121.010975793893	121.029653069087	121.556085949909	121.556085949909	120.927153354406	0.62893259550259
250.494795845741	121.308837906126	121.250267486512	121.043636351821	121.261769414519	121.306669371619	121.123021557918	121.231585663457	121.122072981186	121.139582632068	121.673058120519	121.673058120519	121.043636351821	0.629421768697839
253.666866224643	121.419775495828	121.361435018075	121.153423943765	121.368613702492	121.415830656517	121.234003364657	121.345442877749	121.23078006007	121.247533138883	121.780286648154	121.780286648154	121.153423943765	0.626862704389254
256.879105224433	121.528047553333	121.471788338288	121.257662516997	121.47188780386	121.518124700641	121.339689625066	121.453770840028	121.33849695353	121.352920989468	121.878017572633	121.878017572633	121.257662516997	0.620355055636423
260.132021509142	121.631345253061	121.578266764483	121.357581415712	121.571398112496	121.615783703583	121.442275143926	121.55545717602	121.442937985116	121.452820818563	121.967850939493	121.967850939493	121.357581415712	0.610269523781326
263.426130184123	121.731681130252	121.681114442507	121.457505250865	121.67322894456	121.714481612701	121.543459726716	121.651458857903	121.546219160824	121.55054430092	122.057529269366	122.057529269366	121.457505250865	0.60002401850079
266.761952877623	121.830462488955	121.781769777589	121.562960693032	121.779074554239	121.817360812299	121.646404494279	121.747073366498	121.651825868513	121.649628278471	122.154247138912	122.154247138912	121.562960693032	0.591286445879362
270.14001782338	121.930867748716	121.880841404561	121.672321919121	121.888090526929	121.924323761013	121.752843807393	121.846585719088	121.75906093363	121.750083434753	122.257763703072	122.257763703072	121.672321919121	0.585441783951396
273.560859944274	122.036438820938	121.978495558981	121.782639293597	121.999342149131	122.033253537033	121.861429934922	121.951016523743	121.867485217573	121.85252401154	122.362931883021	122.362931883021	121.782639293597	0.580292589423621
277.025020937026	122.147146948356	122.077622333819	121.889666368866	122.109247231741	122.14268906567	121.968960794072	122.060164982288	121.975649814384	121.953922434028	122.463283517283	122.463283517283	121.889666368866	0.573617148416801
280.533049357984	122.258969305543	122.180461796086	121.991428617083	122.212994471497	122.248452034976	122.075252382185	122.171171664021	122.083433941477	122.052819656732	122.556708363553	122.556708363553	121.991428617083	0.565279746469585
284.085500709986	122.371298149393	122.282458646198	122.093566892105	122.312422295776	122.347878239375	122.184028775894	122.279986053496	122.192339408016	122.149384481693	122.644004020419	122.644004020419	122.093566892105	0.550437128314314
287.682937530321	122.483101366192	122.382386963118	122.200578396946	122.411842572062	122.444513657669	122.294152342448	122.386557664638	122.303324772281	122.244621327239	122.729882626217	122.729882626217	122.200578396946	0.529304229271233
291.325929479812	122.58850767447	122.485323580746	122.309695674325	122.513259776187	122.542099708697	122.402091398966	122.490415371585	122.415462156787	122.346576344663	122.825934888619	122.825934888619	122.309695674325	0.516239214294004
295.015053433023	122.691052563126	122.587991606076	122.422734140294	122.621793321665	122.644280882954	122.511294390794	122.592259496345	122.525582767795	122.455008015969	122.933925503907	122.933925503907	122.422734140294	0.511191363613051
298.750893569603	122.794126825006	122.691741105123	122.536774882083	122.735333556783	122.750528271418	122.620258367313	122.696313790394	122.633742291993	122.564907820607	123.046131959777	123.046131959777	122.536774882083	0.509357077694318
302.534041466801	122.893209787516	122.802431938301	122.64241290508	122.846123580455	122.856546241345	122.724786993743	122.800300519804	122.739475241111	122.679743851448	123.159423040735	123.159423040735	122.64241290508	0.517010135655084
306.365096193133	122.993653573319	122.91307930934	122.741545726957	122.953510732641	122.962174052132	122.827935911803	122.902527221247	122.839997742004	122.792281806277	123.268403241743	123.268403241743	122.741545726957	0.526857514786428
310.244664403253	123.095594174564	123.020575195034	122.839179018457	123.054843240008	123.063059739361	122.930170623917	123.005102226128	122.940014189581	122.89947135475	123.369991836741	123.369991836741	122.839179018457	0.530812818284119
314.173360434016	123.196421597307	123.125663471853	122.93606194189	123.153966999977	123.161342617421	123.030906093263	123.106321095877	123.040554319707	123.005251339462	123.4688793481	123.4688793481	122.93606194189	0.532817406209986
318.151806401759	123.297765466196	123.227174491897	123.037477567078	123.254117624656	123.260800683531	123.131483581386	123.208380442136	123.141697649075	123.108758292954	123.571292351452	123.571292351452	123.037477567078	0.533814784373732
322.180632300811	123.400545463006	123.326661769263	123.142826534039	123.356690168309	123.363201767503	123.23293768993	123.312383170619	123.244484933424	123.212091088181	123.677746364537	123.677746364537	123.142826534039	0.534919830497955
326.260476103262	123.503968867892	123.428501005231	123.247924481054	123.460341052866	123.466765114844	123.335852882779	123.418024669842	123.348766894452	123.316155668538	123.785098557559	123.785098557559	123.247924481054	0.537174076505465
330.391983859978	123.608162361298	123.532140773074	123.34992791243	123.562529094335	123.568629519686	123.437127428156	123.523004717961	123.452331455557	123.417965279304	123.88879962847	123.88879962847	123.34992791243	0.538871716039665
334.57580980291	123.713878671372	123.635676338088	123.446875488166	123.662746851251	123.667930842492	123.537573105229	123.625807769431	123.554248406729	123.519288771828	123.987793695355	123.987793695355	123.446875488166	0.54091820718881
