"Source","SourceFile","ProductGroup","GroupSort","GroupName","Material","LineShift"
"JSON","TIA-338-FRONT.json","TWS","2","338-FRONT-R","TIA-338-FRONT-BK-WW-R","TIA-338-FRONT-BK-WW-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","2","338-FRONT-R","TIA-338-FRONT-WH-KR-R","TIA-338-FRONT-WH-KR-R_B28A"
"JSON","TIA-338-FRONT.json","TWS","2","338-FRONT-R","TIA-338-FRONT-WH-KR-R","TIA-338-FRONT-WH-KR-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","2","338-FRONT-R","TIA-338-FRONT-WH-TW-R","TIA-338-FRONT-WH-TW-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","2","338-FRONT-R","TIA-338-FRONT-WH-WW-R","TIA-338-FRONT-WH-WW-R_B28A"
"JSON","TIA-338-FRONT.json","TWS","2","338-FRONT-R","TIA-338-FRONT-WH-WW-R","TIA-338-FRONT-WH-WW-R_B28B"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY REAR-338-AP-R-RA1","ASSY REAR-338-AP-R-RA1_C21A"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY REAR-338-AP-R-RA1","ASSY REAR-338-AP-R-RA1_C21B"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY REAR-338-AP-L-RA1","ASSY REAR-338-AP-L-RA1_C22A"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY REAR-338-AP-L-RA1","ASSY REAR-338-AP-L-RA1_C22B"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY REAR-338-BK-R-RA1","ASSY REAR-338-BK-R-RA1_C21A"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY REAR-338-BK-R-RA1","ASSY REAR-338-BK-R-RA1_C21B"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY REAR-338-BK-L-RA1","ASSY REAR-338-BK-L-RA1_C22A"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY REAR-338-BK-L-RA1","ASSY REAR-338-BK-L-RA1_C22B"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY REAR-338-WH-R-RA1","ASSY REAR-338-WH-R-RA1_C21A"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY REAR-338-WH-R-RA1","ASSY REAR-338-WH-R-RA1_C21B"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY REAR-338-WH-L-RA1","ASSY REAR-338-WH-L-RA1_C22A"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY REAR-338-WH-L-RA1","ASSY REAR-338-WH-L-RA1_C22B"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY BRACKET-338-INNER-L","ASSY BRACKET-338-INNER-L_C26A"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY BRACKET-338-INNER-L","ASSY BRACKET-338-INNER-L_C26B"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY BRACKET-338-INNER-R","ASSY BRACKET-338-INNER-R_C24A"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY BRACKET-338-INNER-R","ASSY BRACKET-338-INNER-R_C24B"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY BRACKET-338-INNER-L","ASSY BRACKET-338-INNER-L_C24A"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY BRACKET-338-INNER-L","ASSY BRACKET-338-INNER-L_C24B"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY BRACKET-338-INNER-R","ASSY BRACKET-338-INNER-R_C23A"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY BRACKET-338-INNER-R","ASSY BRACKET-338-INNER-R_C23B"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY F-PCB-338-L","ASSY F-PCB-338-L_C2AB"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY F-PCB-338-L","ASSY F-PCB-338-L_C2BB"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY F-PCB-338-R","ASSY F-PCB-338-R_C2AA"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY F-PCB-338-R","ASSY F-PCB-338-R_C2BA"
"JSON","TIA-338-RA.json","TWS","1","338-RA-L","ASSY REAR-338-AP-L-RA1","ASSY REAR-338-AP-L-RA1_C22A"
"JSON","TIA-338-RA.json","TWS","1","338-RA-L","ASSY REAR-338-AP-L-RA1","ASSY REAR-338-AP-L-RA1_C22B"
"JSON","TIA-338-RA.json","TWS","1","338-RA-L","ASSY REAR-338-BK-L-RA1","ASSY REAR-338-BK-L-RA1_C22A"
"JSON","TIA-338-RA.json","TWS","1","338-RA-L","ASSY REAR-338-BK-L-RA1","ASSY REAR-338-BK-L-RA1_C22B"
"JSON","TIA-338-RA.json","TWS","1","338-RA-L","ASSY REAR-338-WH-L-RA1","ASSY REAR-338-WH-L-RA1_C22A"
"JSON","TIA-338-RA.json","TWS","1","338-RA-L","ASSY REAR-338-WH-L-RA1","ASSY REAR-338-WH-L-RA1_C22B"
"JSON","TIA-338-RA.json","TWS","1","338-RA-L","ASSY BRACKET-338-INNER-L","ASSY BRACKET-338-INNER-L_C26A"
"JSON","TIA-338-RA.json","TWS","1","338-RA-L","ASSY BRACKET-338-INNER-L","ASSY BRACKET-338-INNER-L_C26B"
"JSON","TIA-338-RA.json","TWS","1","338-RA-L","ASSY BRACKET-338-INNER-L","ASSY BRACKET-338-INNER-L_C24A"
"JSON","TIA-338-RA.json","TWS","1","338-RA-L","ASSY BRACKET-338-INNER-L","ASSY BRACKET-338-INNER-L_C24B"
"JSON","TIA-338-RA.json","TWS","1","338-RA-L","ASSY F-PCB-338-L","ASSY F-PCB-338-L_C2AB"
"JSON","TIA-338-RA.json","TWS","1","338-RA-L","ASSY F-PCB-338-L","ASSY F-PCB-338-L_C2BB"
"JSON","TIA-338-RA.json","TWS","2","338-RA-R","ASSY REAR-338-AP-R-RA1","ASSY REAR-338-AP-R-RA1_C21A"
"JSON","TIA-338-RA.json","TWS","2","338-RA-R","ASSY REAR-338-AP-R-RA1","ASSY REAR-338-AP-R-RA1_C21B"
"JSON","TIA-338-RA.json","TWS","2","338-RA-R","ASSY REAR-338-BK-R-RA1","ASSY REAR-338-BK-R-RA1_C21A"
"JSON","TIA-338-RA.json","TWS","2","338-RA-R","ASSY REAR-338-BK-R-RA1","ASSY REAR-338-BK-R-RA1_C21B"
"JSON","TIA-338-RA.json","TWS","2","338-RA-R","ASSY REAR-338-WH-R-RA1","ASSY REAR-338-WH-R-RA1_C21A"
"JSON","TIA-338-RA.json","TWS","2","338-RA-R","ASSY REAR-338-WH-R-RA1","ASSY REAR-338-WH-R-RA1_C21B"
"JSON","TIA-338-RA.json","TWS","2","338-RA-R","ASSY BRACKET-338-INNER-R","ASSY BRACKET-338-INNER-R_C24A"
"JSON","TIA-338-RA.json","TWS","2","338-RA-R","ASSY BRACKET-338-INNER-R","ASSY BRACKET-338-INNER-R_C24B"
"JSON","TIA-338-RA.json","TWS","2","338-RA-R","ASSY BRACKET-338-INNER-R","ASSY BRACKET-338-INNER-R_C23A"
"JSON","TIA-338-RA.json","TWS","2","338-RA-R","ASSY BRACKET-338-INNER-R","ASSY BRACKET-338-INNER-R_C23B"
"JSON","TIA-338-RA.json","TWS","2","338-RA-R","ASSY F-PCB-338-R","ASSY F-PCB-338-R_C2AA"
"JSON","TIA-338-RA.json","TWS","2","338-RA-R","ASSY F-PCB-338-R","ASSY F-PCB-338-R_C2BA"
"JSON","TIA-338-RA.json","TWS","3","338-RA-L-A","ASSY REAR-338-AP-L-RA1","ASSY REAR-338-AP-L-RA1_C22A"
"JSON","TIA-338-RA.json","TWS","3","338-RA-L-A","ASSY REAR-338-BK-L-RA1","ASSY REAR-338-BK-L-RA1_C22A"
"JSON","TIA-338-RA.json","TWS","3","338-RA-L-A","ASSY REAR-338-WH-L-RA1","ASSY REAR-338-WH-L-RA1_C22A"
"JSON","TIA-338-RA.json","TWS","3","338-RA-L-A","ASSY BRACKET-338-INNER-L","ASSY BRACKET-338-INNER-L_C26A"
"JSON","TIA-338-RA.json","TWS","3","338-RA-L-A","ASSY BRACKET-338-INNER-L","ASSY BRACKET-338-INNER-L_C24A"
"JSON","TIA-338-RA.json","TWS","3","338-RA-L-A","ASSY F-PCB-338-L","ASSY F-PCB-338-L_C2AB"
"JSON","TIA-338-RA.json","TWS","4","338-RA-L-B","ASSY REAR-338-AP-L-RA1","ASSY REAR-338-AP-L-RA1_C22B"
"JSON","TIA-338-RA.json","TWS","4","338-RA-L-B","ASSY REAR-338-BK-L-RA1","ASSY REAR-338-BK-L-RA1_C22B"
"JSON","TIA-338-RA.json","TWS","4","338-RA-L-B","ASSY REAR-338-WH-L-RA1","ASSY REAR-338-WH-L-RA1_C22B"
