"Source","SourceFile","ProductGroup","GroupSort","GroupName","Material","LineShiftCount","LineShifts"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY REAR-338-BK-R-RA1","2","ASSY REAR-338-BK-R-RA1_C21A | ASSY REAR-338-BK-R-RA1_C21B"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY REAR-338-BK-L-RA1","2","ASSY REAR-338-BK-L-RA1_C22A | ASSY REAR-338-BK-L-RA1_C22B"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY REAR-338-WH-R-RA1","2","ASSY REAR-338-WH-R-RA1_C21A | ASSY REAR-338-WH-R-RA1_C21B"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY REAR-338-WH-L-RA1","2","ASSY REAR-338-WH-L-RA1_C22A | ASSY REAR-338-WH-L-RA1_C22B"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY BRACKET-338-INNER-L","4","ASSY BRACKET-338-INNER-L_C26A | ASSY BRACKET-338-INNER-L_C26B | ASSY BRACKET-338-INNER-L_C24A | ASSY BRACKET-338-INNER-L_C24B"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY BRACKET-338-INNER-R","4","ASSY BRACKET-338-INNER-R_C24A | ASSY BRACKET-338-INNER-R_C24B | ASSY BRACKET-338-INNER-R_C23A | ASSY BRACKET-338-INNER-R_C23B"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY F-PCB-338-L","2","ASSY F-PCB-338-L_C2AB | ASSY F-PCB-338-L_C2BB"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY F-PCB-338-R","2","ASSY F-PCB-338-R_C2AA | ASSY F-PCB-338-R_C2BA"
"JSON","TIA-338-RA.json","TWS","1","338-RA-L","ASSY REAR-338-AP-L-RA1","2","ASSY REAR-338-AP-L-RA1_C22A | ASSY REAR-338-AP-L-RA1_C22B"
"JSON","TIA-338-RA.json","TWS","1","338-RA-L","ASSY REAR-338-BK-L-RA1","2","ASSY REAR-338-BK-L-RA1_C22A | ASSY REAR-338-BK-L-RA1_C22B"
"JSON","TIA-338-RA.json","TWS","1","338-RA-L","ASSY REAR-338-WH-L-RA1","2","ASSY REAR-338-WH-L-RA1_C22A | ASSY REAR-338-WH-L-RA1_C22B"
"JSON","TIA-338-RA.json","TWS","1","338-RA-L","ASSY BRACKET-338-INNER-L","4","ASSY BRACKET-338-INNER-L_C26A | ASSY BRACKET-338-INNER-L_C26B | ASSY BRACKET-338-INNER-L_C24A | ASSY BRACKET-338-INNER-L_C24B"
"JSON","TIA-338-RA.json","TWS","1","338-RA-L","ASSY F-PCB-338-L","2","ASSY F-PCB-338-L_C2AB | ASSY F-PCB-338-L_C2BB"
"JSON","TIA-338-RA.json","TWS","2","338-RA-R","ASSY REAR-338-AP-R-RA1","2","ASSY REAR-338-AP-R-RA1_C21A | ASSY REAR-338-AP-R-RA1_C21B"
"JSON","TIA-338-RA.json","TWS","2","338-RA-R","ASSY REAR-338-BK-R-RA1","2","ASSY REAR-338-BK-R-RA1_C21A | ASSY REAR-338-BK-R-RA1_C21B"
