	〔fg=#0000FF,b〕MASK 1	〔fg=#0000FF,b〕MASK 2	〔fg=#0000FF,b〕 ST 		〔fg=#0000FF,b〕Test 1  #1	〔fg=#0000FF,b〕Test 1  #2	〔fg=#0000FF,b〕Test 1  #3	〔fg=#0000FF,b〕Test 1  #4	〔fg=#0000FF,b〕Test 1  #5	〔fg=#0000FF,b〕Test 1  #6	〔fg=#0000FF,b〕Test 1  #7	〔fg=#0000FF,b〕Test 1  #8	〔fg=#0000FF,b〕Test 1  #9	〔fg=#0000FF,b〕Test 1  #10	〔fg=#FF0000,b〕CD KR AVG		〔fg=#0000FF,b〕Test 2 #1	〔fg=#0000FF,b〕Test 2 #2	〔fg=#0000FF,b〕Test 2 #3	〔fg=#0000FF,b〕Test 2 #4	〔fg=#0000FF,b〕Test 2 #5	〔fg=#0000FF,b〕Test 2 #6	〔fg=#0000FF,b〕Test 2 #7	〔fg=#0000FF,b〕Test 2 #8	〔fg=#0000FF,b〕Test 2 #9	〔fg=#0000FF,b〕Test 2 #10	〔fg=#FF0000,b〕CD GES TRADING  AVG		〔fg=#0000FF,b〕Normal  #1	〔fg=#0000FF,b〕Normal  #2	〔fg=#0000FF,b〕Normal  #3	〔fg=#0000FF,b〕Normal  #4	〔fg=#0000FF,b〕Normal  #5	〔fg=#0000FF,b〕Normal  #6	〔fg=#0000FF,b〕Normal  #7	〔fg=#0000FF,b〕Normal  #8	〔fg=#0000FF,b〕Normal  #9	〔fg=#0000FF,b〕Normal  #10	〔fg=#FF0000,b〕Normal  AVG
475	114.85791	108.85791	111.85791		112.21012	112.17412	112.10408	111.93938	111.98659	111.83728	111.90275	112.05788	112.07481	112.3445	112.06315		112.1361	112.03763	112.22433	112.33668	111.56415	111.97599	112.67566	111.98601	112.21691	112.48532	112.16388		112.11164	112.46671	112.45532	111.80678	111.76439	111.9539	112.0256	111.94196	112.34074	112.16186	112.10289
500	116.05546	110.05546	113.05546		113.39485	113.36514	113.30904	113.08996	113.14463	112.97146	113.05368	113.197	113.27034	113.54117	113.23373		113.31508	113.21746	113.41566	113.53997	112.66929	113.20676	113.87995	113.21416	113.39293	113.65602	113.35073		113.26961	113.63609	113.60383	112.94793	112.84642	113.13175	113.19718	113.12203	113.50725	113.35935	113.26214
530	117.24468	111.24468	114.24468		114.55874	114.53014	114.50322	114.23592	114.28879	114.13067	114.18241	114.31528	114.46517	114.71724	114.39276		114.47738	114.38307	114.58752	114.72155	113.77116	114.4299	115.0499	114.43179	114.55768	114.79638	114.52063		114.42029	114.77997	114.72253	114.11397	113.90772	114.29684	114.35283	114.31756	114.65765	114.55863	114.41280
560	118.31718	112.31718	115.31718		115.60034	115.5707	115.57719	115.27538	115.32279	115.21115	115.19505	115.3207	115.54607	115.76856	115.43879		115.5213	115.43127	115.63495	115.78015	114.77591	115.52935	116.08746	115.52875	115.60521	115.81413	115.57085		115.45564	115.80274	115.71798	115.18648	114.86493	115.34339	115.39156	115.40725	115.69129	115.64434	115.45056
600	119.30313	113.30313	116.30313		116.54722	116.51357	116.5631	116.24026	116.27579	116.23652	116.12167	116.23943	116.54236	116.72471	116.40046		116.47742	116.39476	116.5902	116.73846	115.7102	116.53444	117.01946	116.53471	116.56683	116.73033	116.52968		116.41477	116.73582	116.61615	116.19727	115.75111	116.30679	116.3442	116.41875	116.62171	116.6458	116.40524
630	120.14460	114.14460	117.1446		117.3438	117.3069	117.39688	117.07103	117.09019	117.1472	116.91525	117.0161	117.39075	117.52964	117.22077		117.28531	117.21496	117.39606	117.53415	116.52368	117.38462	117.78787	117.38838	117.3794	117.49335	117.33878		117.24081	117.51838	117.36926	117.08784	116.51809	117.12667	117.15342	117.29423	117.39695	117.5044	117.22101
670	120.84120	114.84120	117.8412		117.99558	117.95693	118.07902	117.7639	117.76717	117.93258	117.57716	117.65596	118.08795	118.18393	117.90002		117.95021	117.89173	118.06059	118.17516	117.21391	118.0838	118.39897	118.08962	118.04475	118.1115	118.00202		117.93053	118.15877	117.98745	117.84559	117.17612	117.80658	117.82205	118.02041	118.02488	118.21409	117.89865
710	121.34954	115.34954	118.34954		118.4634	118.42337	118.56846	118.27606	118.26969	118.51539	118.07043	118.12215	118.58637	118.64956	118.39449		118.43238	118.3854	118.54105	118.62181	117.7476	118.58695	118.81944	118.59716	118.52256	118.54726	118.48016		118.4413	118.62115	118.43041	118.40973	117.69205	118.30506	118.31314	118.54735	118.4652	118.72346	118.39489
750	120.67779	116.67779	118.67779		118.7544	118.71292	118.87316	118.61065	118.60102	118.89057	118.39805	118.41907	118.89727	118.93404	118.70911		118.73707	118.70087	118.847	118.88203	118.12323	118.9049	119.05793	118.91971	118.82281	118.80649	118.78020		118.77973	118.91167	118.70414	118.78857	118.06024	118.63075	118.63286	118.88812	118.72713	119.04171	118.71649
800	120.76854	116.76854	118.76854		118.81867	118.77616	118.93893	118.71239	118.70517	119.0056	118.50399	118.49511	118.96677	118.98573	118.79085		118.80988	118.7831	118.92157	118.90958	118.28366	118.9827	119.06643	119.00045	118.8914	118.84112	118.84899		118.88689	118.97692	118.75778	118.92527	118.22116	118.72464	118.72353	118.98861	118.76343	119.11744	118.80857
